#YY  MM DD hh mm WDIR WSPD GST  WVHT   DPD   APD MWD   PRES  ATMP  WTMP  DEWP  VIS  TIDE
#yr  mo dy hr mn degT m/s  m/s     m   sec   sec degT   hPa  degC  degC  degC   mi    ft
2011 12 31 23 50 202  1.0  1.5  1.54 12.90  9.21 265 1016.7  10.9  14.6 999.0 99.0 99.00
2012 01 01 00 50 274  0.7  1.2  1.50 12.12  9.02 270 1017.1  10.8  14.5 999.0 99.0 99.00
2012 01 01 01 50 247  1.0  2.0  1.50 14.81  9.17 240 1017.1  10.9  14.4 999.0 99.0 99.00
2012 01 01 02 50 358  0.8  1.5  1.48 14.81  9.02 279 1017.3  10.5  14.3 999.0 99.0 99.00
2012 01 01 03 50 117  0.8  1.6  1.62 12.12  9.07 267 1017.6  10.3  14.2 999.0 99.0 99.00
2012 01 01 04 50 235  1.6  2.4  1.44 14.81  8.96 278 1017.8  10.2  14.1 999.0 99.0 99.00
2012 01 01 05 50 310  0.6  1.6  1.38 14.81  8.76 294 1018.3  10.3  14.1 999.0 99.0 99.00
2012 01 01 06 50 110  0.6  1.3  1.49 12.90  8.56 279 1018.4  10.7  14.1 999.0 99.0 99.00
2012 01 01 07 50  99  1.9  2.5  1.83 14.81  9.90 277 1018.6  12.1  14.0 999.0 99.0 99.00
2012 01 01 08 50  75  3.7  4.6  1.40 13.79  8.47 260 1018.6  12.6  14.0 999.0 99.0 99.00
2012 01 01 09 50  92  2.7  3.5  1.45 14.81  9.09 295 1018.8  11.7  14.0 999.0 99.0 99.00
2012 01 01 10 50  83  3.8  4.8  1.51 12.90  9.38 278 1018.8  11.5  14.0 999.0 99.0 99.00
2012 01 01 11 50  79  2.2  3.2  1.49 13.79  9.40 260 1018.8  11.0  14.0 999.0 99.0 99.00
2012 01 01 12 50  33  1.6  2.5  1.54 12.12  9.10 265 1019.0  11.6  14.0 999.0 99.0 99.00
2012 01 01 13 50  62  2.3  3.3  1.40 12.90  9.10 245 1019.4  10.8  14.0 999.0 99.0 99.00
2012 01 01 14 50 348  1.0  1.9  1.35 12.90  8.68 282 1020.3  10.7  14.0 999.0 99.0 99.00
2012 01 01 15 50 327  0.9  1.6  1.36 14.81  9.25 263 1020.9  10.3  13.9 999.0 99.0 99.00
2012 01 01 16 50  24  0.3  0.9  1.37 12.12  9.09 281 1021.6  10.2  13.9 999.0 99.0 99.00
2012 01 01 17 50 291  1.4  2.1  1.37 13.79  9.46 286 1022.2  10.5  13.9 999.0 99.0 99.00
2012 01 01 18 50 288  2.4  3.3  1.41 12.90  9.61 271 1021.9  10.7  14.1 999.0 99.0 99.00
2012 01 01 19 50 301  3.5  4.3  1.31 12.90  9.49 286 1021.0  11.4  14.2 999.0 99.0 99.00
2012 01 01 20 50 265  5.1  6.1  1.38 12.12  9.07 277 1020.4  12.4  14.4 999.0 99.0 99.00
2012 01 01 21 50 270  4.3  5.1  1.32 12.90  8.93 277 1020.0  11.6  14.5 999.0 99.0 99.00
2012 01 01 22 50 283  4.9  5.8  1.28 12.90  8.59 265 1020.0  12.3  14.6 999.0 99.0 99.00
2012 01 01 23 50 284  3.9  5.0  1.24 11.43  8.77 284 1020.2  12.5  14.6 999.0 99.0 99.00
2012 01 02 00 50 283  2.5  3.3  1.12 11.43  8.39 270 1020.3  12.5  14.5 999.0 99.0 99.00
2012 01 02 01 50 285  2.7  3.4  1.17 12.12  9.13 263 1020.6  12.8  14.4 999.0 99.0 99.00
2012 01 02 02 50 315  4.1  5.0 99.00 99.00 99.00 999 1021.1  11.5  14.3 999.0 99.0 99.00
2012 01 02 03 50 289  4.7  5.9  1.20 12.12  9.21 277 1021.8  11.7  14.2 999.0 99.0 99.00
2012 01 02 04 50 278  3.3  4.2  0.98 12.90  8.37 282 1022.2  11.2  14.1 999.0 99.0 99.00
2012 01 02 05 50 295  2.2  3.2  0.99 12.90  8.67 257 1022.2  10.5  14.1 999.0 99.0 99.00
2012 01 02 08 50 277  6.6  7.7  0.93 13.79  8.81 308 1022.7  10.5  13.9 999.0 99.0 99.00
2012 01 02 09 50 282  5.1  6.7  0.99 12.90  6.61 277 1022.8  10.6  13.9 999.0 99.0 99.00
2012 01 02 10 50 278  3.1  4.5  0.82 12.12  6.05 282 1022.7  10.4  13.9 999.0 99.0 99.00
2012 01 02 11 50 306  2.3  3.7  0.88 11.43  7.23 241 1022.3  10.9  13.8 999.0 99.0 99.00
2012 01 02 12 50 269  3.7  4.9  0.88 12.12  7.73 266 1022.2  11.7  13.8 999.0 99.0 99.00
2012 01 02 13 50 274  0.4  0.9  0.82 12.12  8.08 256 1021.9  11.7  13.8 999.0 99.0 99.00
2012 01 02 14 50 278  1.9  2.4  0.78 11.43  8.45 257 1022.7  12.0  13.7 999.0 99.0 99.00
2012 01 02 15 50 284  5.5  6.4  0.68 10.81  7.88 255 1023.8  12.5  13.8 999.0 99.0 99.00
2012 01 02 16 50 260  3.3  4.1  0.74 11.43  6.41 273 1024.5  13.0  13.8 999.0 99.0 99.00
2012 01 02 17 50 267  3.4  4.7  0.81 10.81  6.37 255 1024.9  11.4  13.9 999.0 99.0 99.00
2012 01 02 18 50 261  2.9  3.9  0.70 10.81  5.98 244 1024.3  12.7  14.0 999.0 99.0 99.00
2012 01 02 19 50 247  4.7  5.6  0.69 11.43  6.33 217 1023.0  13.2  14.1 999.0 99.0 99.00
2012 01 02 20 50 276  3.4  4.2  0.68 12.12  6.09 272 1021.9  13.3  14.3 999.0 99.0 99.00
2012 01 02 21 50 251  4.9  5.6  0.66 12.90  6.08 271 1021.4  13.5  14.5 999.0 99.0 99.00
2012 01 02 22 50 256  5.2  6.0  0.61 12.12  4.72 294 1021.4  14.4  14.5 999.0 99.0 99.00
2012 01 02 23 50 267  4.6  5.4  0.63 12.90  5.19 273 1021.2  14.5  14.5 999.0 99.0 99.00
2012 01 03 00 50 230  3.0  4.1  0.60 12.90  5.79 245 1021.0  14.5  14.5 999.0 99.0 99.00
2012 01 03 01 50 227  5.5  6.5  0.55 12.12  5.61 227 1021.0  14.2  14.4 999.0 99.0 99.00
2012 01 03 02 50 240  3.6  4.4  0.59 12.90  5.06 298 1021.6  14.2  14.3 999.0 99.0 99.00
2012 01 03 03 50 229  2.9  3.7  0.59 11.43  4.99 258 1022.3  14.3  14.2 999.0 99.0 99.00
2012 01 03 04 50 230  5.0  6.1  0.64 12.12  6.03 216 1022.4  14.3  14.1 999.0 99.0 99.00
2012 01 03 05 50 238  1.7  2.3  0.59 12.12  5.14 256 1022.4  14.2  14.1 999.0 99.0 99.00
2012 01 03 06 50 247  3.6  4.4  0.67 12.12  5.82 284 1022.5  14.0  14.0 999.0 99.0 99.00
2012 01 03 07 50 265  4.0  4.6  0.62 12.12  5.64 262 1022.7  13.9  14.0 999.0 99.0 99.00
2012 01 03 08 50 267  2.4  2.9  0.70 12.12  5.80 253 1023.0  13.9  14.0 999.0 99.0 99.00
2012 01 03 09 50 233  4.7  5.8  0.77 12.12  6.04 267 1022.2  13.9  14.0 999.0 99.0 99.00
2012 01 03 10 50 283  1.5  2.0  0.76 11.43  5.97 263 1022.0  13.8  14.0 999.0 99.0 99.00
2012 01 03 11 50 251  1.0  1.8  0.80 10.81  6.18 272 1021.8  13.6  14.0 999.0 99.0 99.00
2012 01 03 12 50 299  1.5  2.2  0.93 19.05  6.77 256 1022.0  13.7  14.0 999.0 99.0 99.00
2012 01 03 13 50 226  2.7  3.4  1.08 17.39  7.45 316 1022.2  13.9  14.0 999.0 99.0 99.00
2012 01 03 14 50 232  3.6  4.3  1.08 17.39  7.75 220 1022.3  13.9  14.0 999.0 99.0 99.00
2012 01 03 15 50 255  3.8  4.9  1.29 17.39  7.81 290 1022.7  13.7  14.0 999.0 99.0 99.00
