#YY  MM DD hh mm WDIR WSPD GST  WVHT   DPD   APD MWD   PRES  ATMP  WTMP  DEWP  VIS  TIDE
#yr  mo dy hr mn degT m/s  m/s     m   sec   sec degT   hPa  degC  degC  degC   mi    ft
2016 12 31 23 50 304  5.9  7.2  2.32 11.43  7.94 307 1012.4  12.1  13.7 999.0 99.0 99.00
2017 01 01 00 50 309  5.5  7.2  2.29 12.90  8.00 301 1012.6  12.0  13.6 999.0 99.0 99.00
2017 01 01 01 50 329  5.3  7.1  2.44 12.90  8.12 299 1012.7  11.9  13.6 999.0 99.0 99.00
2017 01 01 02 50 340  5.2  6.6  2.40 11.43  8.05 304 1012.9  11.9  13.5 999.0 99.0 99.00
2017 01 01 03 50 334  5.0  6.7  2.63 11.43  8.39 310 1012.9  11.9  13.5 999.0 99.0 99.00
2017 01 01 04 50 359  5.1  6.2  2.53 12.12  8.55 308 1012.7  11.5  13.5 999.0 99.0 99.00
2017 01 01 05 50 342  5.2  6.5  2.37 13.79  8.21 303 1013.1  11.5  13.4 999.0 99.0 99.00
2017 01 01 06 50 331  8.5 11.2  2.65 12.12  8.67 306 1013.5  11.6  13.3 999.0 99.0 99.00
2017 01 01 07 50 342  9.0 11.5  2.70 12.90  8.46 309 1013.2  11.6  13.2 999.0 99.0 99.00
2017 01 01 08 50 337  9.4 11.1  2.64 12.12  7.71 306 1013.4  10.8  13.2 999.0 99.0 99.00
2017 01 01 09 50 334  8.3 11.9  2.60 12.90  7.54 312 1013.0  11.1  13.1 999.0 99.0 99.00
2017 01 01 10 50 349 12.1 14.2  2.55 12.12  7.30 310 1013.0  11.5  13.2 999.0 99.0 99.00
2017 01 01 11 50 343 12.0 14.4  2.49 11.43  6.61 317 1013.6  11.2  13.2 999.0 99.0 99.00
2017 01 01 12 50 341 10.4 12.1  2.43 12.12  6.77 315 1013.7  11.2  13.2 999.0 99.0 99.00
2017 01 01 13 50 340 10.2 12.4  2.33 12.90  6.66 303 1013.9  11.4  13.2 999.0 99.0 99.00
2017 01 01 14 50 346  9.4 12.4  2.34 12.12  6.89 312 1013.8  11.3  13.2 999.0 99.0 99.00
2017 01 01 15 50 342  8.6 10.5  2.10 12.12  6.48 313 1014.1  11.5  13.3 999.0 99.0 99.00
2017 01 01 16 50 338  7.9  9.4  2.24 12.90  7.25 310 1014.2  11.9  13.4 999.0 99.0 99.00
2017 01 01 17 50 328  8.8 10.4  2.17 12.12  6.98 317 1014.7  11.9  13.4 999.0 99.0 99.00
2017 01 01 18 50 325  8.6 10.3  2.09 12.12  6.86 309 1014.9  11.7  13.4 999.0 99.0 99.00
2017 01 01 19 50 330  8.8 10.3  2.21 12.90  6.75 282 1014.8  12.1  13.5 999.0 99.0 99.00
2017 01 01 20 50 334  8.7 11.1  2.17 11.43  6.53 307 1014.5  12.1  13.5 999.0 99.0 99.00
2017 01 01 21 50 322 11.0 13.8  2.24 11.43  6.45 311 1013.8  12.5  13.5 999.0 99.0 99.00
2017 01 01 22 50 329  9.5 11.5  2.25 12.12  6.44 300 1014.0  12.4  13.5 999.0 99.0 99.00
