#YY  MM DD hh mm WDIR WSPD GST  WVHT   DPD   APD MWD   PRES  ATMP  WTMP  DEWP  VIS  TIDE
#yr  mo dy hr mn degT m/s  m/s     m   sec   sec degT   hPa  degC  degC  degC  nmi    ft
2007 01 03 08 00 310  9.1 10.3 99.00 99.00 99.00 999 1017.8  13.3  13.7 999.0 99.0 99.00
2007 01 03 10 00 311 10.3 12.4 99.00 99.00 99.00 999 9999.0 999.0 999.0 999.0 99.0 99.00
2007 01 03 11 00 311  8.7 10.7 99.00 99.00 99.00 999 1018.2  13.3  13.5 999.0 99.0 99.00
2007 01 03 12 00 313  9.6 11.5  2.29 12.50  7.39 999 1017.5  12.9  13.6 999.0 99.0 99.00
2007 01 03 13 00 999 99.0 99.0  2.45 12.50  7.42 999 9999.0 999.0 999.0 999.0 99.0 99.00
2007 01 03 14 00 318 11.7 99.0 99.00 99.00 99.00 999 1018.0  12.6 999.0 999.0 99.0 99.00
2007 01 03 15 00 312 12.4 14.5 99.00 99.00 99.00 999 1018.1  12.1  13.4 999.0 99.0 99.00
2007 01 03 16 00 316 11.7 13.7  2.45 12.50  7.10 999 1018.7  12.0  13.4 999.0 99.0 99.00
2007 01 03 17 00 314 11.7 14.4  2.28 12.50  6.97 999 1019.4  12.3  13.4 999.0 99.0 99.00
2007 01 03 18 00 315 12.6 14.9  2.58 11.11  7.14 999 1020.1  12.1  13.4 999.0 99.0 99.00
2007 01 03 19 00 319 11.4 13.4  2.72 14.29  7.54 999 1019.7  12.5  13.4 999.0 99.0 99.00
2007 01 03 20 00 311 11.3 14.0  2.52 14.29  7.32 999 1018.8  12.6  13.4 999.0 99.0 99.00
2007 01 03 21 00 307 13.5 15.1 99.00 99.00 99.00 999 1018.1  12.5  13.4 999.0 99.0 99.00
2007 01 03 22 00 308 13.3 15.6  2.65 12.50  6.89 999 1017.8  12.2  13.4 999.0 99.0 99.00
2007 01 03 23 00 309 12.5 15.0  2.71 14.29  7.13 999 1018.2  12.2  13.4 999.0 99.0 99.00
2007 01 04 00 00 315 12.5 15.2  2.82 14.29  6.70 999 1018.1  12.9  13.4 999.0 99.0 99.00
2007 01 04 01 00 313 14.0 16.8  2.75 16.67  6.79 999 1018.1  12.9  13.4 999.0 99.0 99.00
2007 01 04 02 00 313 15.6 99.0 99.00 99.00 99.00 999 9999.0  12.6 999.0 999.0 99.0 99.00
2007 01 04 03 00 314 14.5 99.0 99.00 99.00 99.00 999 9999.0  12.1 999.0 999.0 99.0 99.00
2007 01 04 04 00 320 15.4 17.9 99.00 99.00 99.00 999 1019.0  12.3  13.4 999.0 99.0 99.00
2007 01 04 05 00 322 13.7 15.7 99.00 99.00 99.00 999 1019.4 999.0  13.4 999.0 99.0 99.00
2007 01 04 06 00 312 12.2 99.0 99.00 99.00 99.00 999 1019.3  12.8  13.6 999.0 99.0 99.00
2007 01 04 07 00 316 12.8 16.2 99.00 99.00 99.00 999 1019.2  12.9  13.5 999.0 99.0 99.00
2007 01 04 09 00 322 11.5 99.0 99.00 99.00 99.00 999 9999.0  12.6 999.0 999.0 99.0 99.00
2007 01 04 10 00 322 12.2 14.4 99.00 99.00 99.00 999 1017.9  12.6  13.4 999.0 99.0 99.00
2007 01 04 11 00 319 10.5 12.8  2.72 14.29  8.08 999 1018.0  12.6  13.4 999.0 99.0 99.00
2007 01 04 12 00 318 10.4 11.9 99.00 99.00 99.00 999 9999.0 999.0 999.0 999.0 99.0 99.00
2007 01 04 13 00 318 10.4 99.0 99.00 99.00 99.00 999 1018.6  12.2  13.3 999.0 99.0 99.00
2007 01 04 14 00 322 11.8 14.0 99.00 99.00 99.00 999 1018.7  12.5  13.3 999.0 99.0 99.00
2007 01 04 15 00 999 99.0  9.3 99.00 99.00 99.00 999 1018.9 999.0  13.0 999.0 99.0 99.00
2007 01 04 16 00 310  9.3 11.0  2.55 16.67  8.44 999 1019.1  12.9  12.9 999.0 99.0 99.00
2007 01 04 17 00 297  8.7 10.6  2.48 16.67  8.90 999 1019.4  12.6  12.9 999.0 99.0 99.00
2007 01 04 18 00 301  8.2  9.5  2.78 14.29  9.19 999 1020.3  12.9  12.9 999.0 99.0 99.00
2007 01 04 19 00 300  7.2  8.8  2.34 14.29  8.81 999 1020.2  12.9  12.9 999.0 99.0 99.00
2007 01 04 20 00 282  7.1  8.4  2.82 14.29 10.81 999 1018.9  13.0  13.3 999.0 99.0 99.00
2007 01 04 21 00 274  6.3  7.8  2.70 12.50 10.22 999 1017.9  13.3  13.3 999.0 99.0 99.00
2007 01 04 22 00 316 13.3 16.2  2.42 14.29  9.35 999 1017.8  12.1  13.3 999.0 99.0 99.00
2007 01 04 23 00 326 14.6 17.1  2.84 16.67  7.93 999 1018.2  12.0  13.3 999.0 99.0 99.00
2007 01 05 00 00 321 14.6 17.4  2.95 14.29  7.41 999 1018.8  12.5  13.3 999.0 99.0 99.00
2007 01 05 01 00 322 15.1 18.2  3.16 12.50  6.98 999 1018.5  12.2  13.1 999.0 99.0 99.00
2007 01 05 03 00 318 16.8 99.0 99.00 99.00 99.00 999 9999.0  12.1  12.9 999.0 99.0 99.00
2007 01 05 04 00 322 17.0 20.9 99.00 99.00 99.00 999 1019.5  11.8  12.9 999.0 99.0 99.00
2007 01 05 05 00 320 17.6 99.0 99.00 99.00 99.00 999 1020.0  11.6  12.9 999.0 99.0 99.00
2007 01 05 06 00 999 17.8 99.0 99.00 99.00 99.00 999 9999.0 999.0 999.0 999.0 99.0 99.00
