#YY  MM DD hh mm WDIR WSPD GST  WVHT   DPD   APD MWD   PRES  ATMP  WTMP  DEWP  VIS  TIDE
#yr  mo dy hr mn degT m/s  m/s     m   sec   sec degT   hPa  degC  degC  degC   mi    ft
2008 12 31 23 50 999  9.5 99.0  2.64 14.29  8.47 999 1016.0  12.7  13.2 999.0 99.0 99.00
2009 01 01 00 50 999  9.7 99.0  2.56 14.29  7.56 999 1015.9  13.6  12.9 999.0 99.0 99.00
2009 01 01 01 50 999  9.3 99.0 99.00 99.00 99.00 999 1016.0  13.3  12.8 999.0 99.0 99.00
2009 01 01 02 50 999  9.2 99.0  2.39 12.50  7.21 999 1015.8  13.3  12.8 999.0 99.0 99.00
2009 01 01 03 50 999  5.8 99.0  2.56 12.50  7.18 999 1016.1  13.2  12.7 999.0 99.0 99.00
2009 01 01 05 50 999  9.8 99.0  2.35 12.50  7.02 999 1016.3  13.6  12.6 999.0 99.0 99.00
2009 01 01 07 50 999 11.8 99.0  2.60  7.69  6.80 999 1016.6  12.2  12.6 999.0 99.0 99.00
2009 01 01 08 50 999  9.4 99.0  2.42 12.50  6.94 999 1016.3  12.6  12.6 999.0 99.0 99.00
2009 01 01 10 50 999  8.3 99.0 99.00 99.00 99.00 999 1016.3  12.5  12.6 999.0 99.0 99.00
2009 01 01 12 50 999  8.1 99.0  2.31  7.69  6.77 999 1016.4  12.1  12.6 999.0 99.0 99.00
2009 01 01 13 50 999 10.1 99.0  2.38  8.33  6.84 999 1016.3  11.8  12.6 999.0 99.0 99.00
2009 01 01 14 50 999  9.3 99.0  2.27  7.69  6.64 999 1016.4  11.8  12.6 999.0 99.0 99.00
2009 01 01 15 50 999  6.9 99.0  2.10 12.50  6.63 999 1016.6  11.9  12.6 999.0 99.0 99.00
2009 01 01 17 50 999  2.1 99.0  2.09 12.50  7.22 999 1017.9  10.3  12.6 999.0 99.0 99.00
2009 01 01 18 50 999  2.3 99.0  2.01 12.50  7.08 999 1017.9  10.2  12.8 999.0 99.0 99.00
2009 01 01 19 50 999  1.0 99.0  1.96  7.69  7.12 999 1017.0  10.2  12.8 999.0 99.0 99.00
2009 01 01 20 50 999  0.6 99.0  2.04 12.50  7.38 999 1016.3  10.5  12.9 999.0 99.0 99.00
2009 01 01 21 50 999  7.2 99.0  2.15 12.50  7.28 999 1015.0  11.9  13.3 999.0 99.0 99.00
2009 01 01 22 50 999  9.4 99.0  2.24 12.50  6.77 999 1014.8  12.0  12.9 999.0 99.0 99.00
2009 01 01 23 50 999  9.5 99.0  2.21 12.50  6.38 999 1014.7  12.1  12.8 999.0 99.0 99.00
2009 01 02 00 50 999  9.9 99.0  2.09 12.50  6.40 999 1014.1  12.3  12.8 999.0 99.0 99.00
2009 01 02 01 50 999 10.5 99.0  2.13 12.50  6.57 999 1014.0  12.1  12.8 999.0 99.0 99.00
2009 01 02 02 50 999 10.3 99.0 99.00 99.00 99.00 999 9999.0  11.8 999.0 999.0 99.0 99.00
2009 01 02 03 50 999 10.0 99.0  2.17  6.67  6.37 999 1014.0  12.0  12.6 999.0 99.0 99.00
2009 01 02 04 50 999  7.9 99.0  2.36 12.50  6.74 999 1013.8  12.1  12.6 999.0 99.0 99.00
2009 01 02 06 50 999  0.4 99.0 99.00 99.00 99.00 999 1014.0  12.5  12.6 999.0 99.0 99.00
2009 01 02 08 50 999  6.4 99.0  2.28 11.11  7.36 999 1013.4  12.1  12.6 999.0 99.0 99.00
2009 01 02 09 50 999  6.6 99.0  2.17 12.50  7.14 999 1013.6  12.1  12.6 999.0 99.0 99.00
2009 01 02 10 50 999  6.4 99.0  2.15  7.69  7.16 999 1013.4  12.1  12.6 999.0 99.0 99.00
2009 01 02 11 50 999  7.9 99.0  2.03 11.11  7.01 999 1013.3  12.1  12.6 999.0 99.0 99.00
2009 01 02 12 50 999  2.7 99.0  2.07 11.11  7.35 999 1013.4  10.5  12.6 999.0 99.0 99.00
2009 01 02 13 50 999  8.7 99.0  2.15 11.11  7.08 999 1013.3  11.5  12.6 999.0 99.0 99.00
2009 01 02 14 50 999  9.1 99.0  2.10 11.11  6.79 999 1013.8  11.4  12.6 999.0 99.0 99.00
2009 01 02 16 50 999  9.7 99.0  2.22  7.14  6.55 999 1014.1  11.6  12.6 999.0 99.0 99.00
2009 01 02 17 50 999  8.6 99.0  2.38  7.69  7.06 999 1014.6  11.3  12.6 999.0 99.0 99.00
2009 01 02 18 50 999 10.7 99.0 99.00 99.00 99.00 999 9999.0  11.7 999.0 999.0 99.0 99.00
2009 01 02 19 50 999 11.6 99.0  2.35  7.14  6.51 999 1013.5  12.1  12.6 999.0 99.0 99.00
2009 01 02 20 50 999 11.8 99.0 99.00 99.00 99.00 999 1013.2  12.3  12.6 999.0 99.0 99.00
2009 01 02 21 50 999 10.4 99.0 99.00 99.00 99.00 999 1012.5  12.3  12.6 999.0 99.0 99.00
2009 01 02 23 50 999 10.8 99.0  2.02 16.67  6.27 999 1012.6  12.1  12.6 999.0 99.0 99.00
2009 01 03 00 50 999  7.8 99.0  2.00 16.67  6.58 999 1012.5  12.1  12.6 999.0 99.0 99.00
2009 01 03 01 50 999  6.0 99.0  1.76 16.67  6.81 999 1012.5  12.1  12.6 999.0 99.0 99.00
2009 01 03 02 50 999  5.6 99.0  1.60 10.00  6.77 999 1012.5  12.1  12.6 999.0 99.0 99.00
2009 01 03 03 50 999  7.9 99.0  1.61 11.11  7.14 999 1012.5  12.5  12.6 999.0 99.0 99.00
2009 01 03 04 50 999 11.6 99.0  1.54 16.67  6.17 999 1012.4  11.7  12.6 999.0 99.0 99.00
2009 01 03 05 50 999 12.1 99.0  1.77 16.67  5.78 999 1012.9  11.7  12.6 999.0 99.0 99.00
2009 01 03 06 50 999 12.4 99.0  1.87 16.67  5.76 999 1012.9  11.5  12.6 999.0 99.0 99.00
2009 01 03 07 50 999 11.8 99.0 99.00 99.00 99.00 999 1012.6  11.4  12.6 999.0 99.0 99.00
2009 01 03 08 50 999 12.2 99.0  2.04  6.67  5.96 999 1012.6  11.4  12.5 999.0 99.0 99.00
2009 01 03 11 50 999 11.8 99.0  2.35  7.69  6.22 999 1011.8  11.0  12.5 999.0 99.0 99.00
2009 01 03 12 50 999 10.9 99.0  2.46  8.33  6.48 999 1011.7  11.1  12.5 999.0 99.0 99.00
2009 01 03 13 50 999 10.8 99.0  2.36  8.33  6.38 999 1011.6  11.0  12.5 999.0 99.0 99.00
2009 01 03 14 50 999 10.6 99.0  2.19  8.33  6.27 999 1012.0  11.0  12.5 999.0 99.0 99.00
2009 01 03 18 50 999  9.6 99.0  2.54 10.00  7.86 999 1013.5  10.6  12.5 999.0 99.0 99.00
2009 01 03 20 50 999 11.9 99.0 99.00 99.00 99.00 999 1012.2  11.0  12.5 999.0 99.0 99.00
2009 01 03 23 50 999 12.6 99.0 99.00 99.00 99.00 999 1012.0  11.5  12.6 999.0 99.0 99.00
2009 01 04 00 50 999 12.7 99.0 99.00 99.00 99.00 999 1012.1  11.4  12.6 999.0 99.0 99.00
2009 01 04 01 50 999 13.7 99.0  2.94 10.00  7.09 999 1012.6  11.2  12.6 999.0 99.0 99.00
2009 01 04 02 50 999 10.2 99.0 99.00 99.00 99.00 999 1013.0  11.3  12.5 999.0 99.0 99.00
2009 01 04 04 50 999  6.0 99.0 99.00 99.00 99.00 999 1013.4  10.8  12.5 999.0 99.0 99.00
2009 01 04 05 50 999  6.7 99.0 99.00 99.00 99.00 999 1013.8  10.8  12.5 999.0 99.0 99.00
2009 01 04 08 50 999  5.5 99.0  2.42 10.00  7.55 999 1013.6  11.0  12.5 999.0 99.0 99.00
2009 01 04 09 50 999  4.9 99.0  2.51 10.00  7.61 999 1014.1  11.1  12.5 999.0 99.0 99.00
2009 01 04 12 50 999  6.4 99.0 99.00 99.00 99.00 999 1014.4  11.0  12.2 999.0 99.0 99.00
