#YY  MM DD hh mm WDIR WSPD GST  WVHT   DPD   APD MWD   PRES  ATMP  WTMP  DEWP  VIS  TIDE
#yr  mo dy hr mn degT m/s  m/s     m   sec   sec degT   hPa  degC  degC  degC   mi    ft
2011 12 31 23 50 127  0.5  1.6  2.34 14.81  8.82 999 1016.7  13.1  13.5 999.0 99.0 99.00
2012 01 01 00 50 187  2.1  3.1  2.31 14.81  8.47 999 1016.7  12.0  13.4 999.0 99.0 99.00
2012 01 01 01 50 222  1.3  1.9  2.22 13.79  8.52 999 1016.8  11.3  13.2 999.0 99.0 99.00
2012 01 01 02 50 205  0.7  1.2 99.00 99.00 99.00 999 1017.1  11.1  13.1 999.0 99.0 99.00
2012 01 01 04 50  90  3.1  4.2 99.00 99.00 99.00 999 1017.8  10.2 999.0 999.0 99.0 99.00
2012 01 01 06 50  74  1.8  2.8  2.38 12.90  9.09 999 1018.3  10.4  12.9 999.0 99.0 99.00
2012 01 01 08 50 128  1.7  2.6  1.94 14.81  8.73 999 1018.4  12.2  12.7 999.0 99.0 99.00
2012 01 01 09 50 147  3.6  4.8  2.12 10.81  9.20 999 1018.7  10.7  12.6 999.0 99.0 99.00
2012 01 01 10 50 182  1.6  2.3  2.10 11.43  9.32 999 1018.8  11.0  12.7 999.0 99.0 99.00
2012 01 01 11 50 125  3.2  4.4  2.18 11.43  8.54 999 1018.8  11.5  12.7 999.0 99.0 99.00
2012 01 01 12 50 118  2.3  3.5  2.25 12.90  8.70 999 1019.1  10.0  12.7 999.0 99.0 99.00
2012 01 01 13 50 173  0.3  1.5  2.22 11.43  8.62 999 1019.8   9.5  12.8 999.0 99.0 99.00
2012 01 01 14 50  55  1.1  2.2 99.00 99.00 99.00 999 1020.2   9.5  12.9 999.0 99.0 99.00
2012 01 01 15 50  59  0.7  2.2  2.37 13.79  8.93 999 1020.9   9.5  12.8 999.0 99.0 99.00
2012 01 01 16 50 106  1.1  2.5  2.25 13.79  8.80 999 1021.7   9.6  12.9 999.0 99.0 99.00
2012 01 01 17 50 161  2.3  3.8  2.16 12.12  8.90 999 1022.2   9.4  12.9 999.0 99.0 99.00
2012 01 01 18 50 159  1.8  3.0  1.99 12.90  9.02 999 1022.2   9.6  12.9 999.0 99.0 99.00
2012 01 01 19 50 199  2.4  3.2  1.92 13.79  9.20 999 1021.3   9.5  12.9 999.0 99.0 99.00
2012 01 01 20 50 183  2.8  4.6  2.30 12.90  9.91 999 1020.4  10.3  12.9 999.0 99.0 99.00
2012 01 01 21 50 209  4.0  5.0  1.95 12.90  9.36 999 1020.3  11.4  12.9 999.0 99.0 99.00
2012 01 01 22 50 187  2.8  4.3  1.75 12.90  8.71 999 1020.3  11.1  12.9 999.0 99.0 99.00
2012 01 01 23 50 164  1.6  2.9  1.76 12.90  8.99 999 1020.2  11.0  12.8 999.0 99.0 99.00
2012 01 02 00 50 217  3.1  4.1  1.67 12.12  8.60 999 1020.3  11.1  12.8 999.0 99.0 99.00
2012 01 02 01 50 240  3.3  4.5  1.94 12.12  8.94 999 1020.7  11.2  12.8 999.0 99.0 99.00
2012 01 02 02 50 229  3.8  4.7  1.57 11.43  8.09 999 1021.6  10.9  12.8 999.0 99.0 99.00
2012 01 02 03 50 233  1.6  2.4  1.95 12.12  8.86 999 1022.1  10.7  12.8 999.0 99.0 99.00
2012 01 02 04 50 171  1.9  2.8  1.57 11.43  8.27 999 1022.1  10.2  12.8 999.0 99.0 99.00
2012 01 02 05 50 193  1.2  2.2  1.59 10.81  8.54 999 1022.3   9.8  12.9 999.0 99.0 99.00
2012 01 02 08 50 294  2.7  4.0  1.41 11.43  8.82 999 1023.0  10.8  12.9 999.0 99.0 99.00
2012 01 02 09 50 314  2.1  3.5  1.33 12.12  8.96 999 1022.9  10.6  12.9 999.0 99.0 99.00
2012 01 02 10 50 300  3.0  4.1  1.32 12.90  9.14 999 1022.9  11.0  12.9 999.0 99.0 99.00
