#YY  MM DD hh mm WDIR WSPD GST  WVHT   DPD   APD MWD   PRES  ATMP  WTMP  DEWP  VIS  TIDE
#yr  mo dy hr mn degT m/s  m/s     m   sec   sec degT   hPa  degC  degC  degC   mi    ft
2015 12 31 23 50 292  5.6  6.5  1.21 12.12  8.50 293 1019.1  12.9  14.8 999.0 99.0 99.00
2016 01 01 00 50 299  5.1  6.1  1.31 11.43  8.42 296 1019.0  12.7  14.8 999.0 99.0 99.00
2016 01 01 01 50 283  5.9  7.0  1.31 11.43  8.26 298 1018.9  12.6  14.7 999.0 99.0 99.00
2016 01 01 02 50 270  6.5  7.5  1.35 11.43  7.81 309 1018.9  12.7  14.7 999.0 99.0 99.00
2016 01 01 03 50 309  5.5  6.6  1.26 12.12  7.65 299 1019.1  12.5  14.7 999.0 99.0 99.00
2016 01 01 04 50 322  4.6  5.6  1.35 12.90  7.85 278 1019.0  12.3  14.6 999.0 99.0 99.00
2016 01 01 05 50 317  4.7  5.9  1.37 12.12  8.13 283 1019.2  12.3  14.6 999.0 99.0 99.00
2016 01 01 06 50 325  4.8  6.1  1.33 11.43  7.89 292 1019.3  12.3  14.6 999.0 99.0 99.00
2016 01 01 07 50 340  3.6  4.8  1.25 14.81  7.95 287 1018.6  12.1  14.6 999.0 99.0 99.00
2016 01 01 08 50 351  2.0  2.6  1.16 12.12  7.59 299 1017.9  12.1  14.6 999.0 99.0 99.00
2016 01 01 09 50 310  0.7  1.2  1.22 12.12  8.00 273 1017.8  12.1  14.6 999.0 99.0 99.00
2016 01 01 10 50 247  0.7  1.2  1.24 13.79  8.85 281 1017.9  12.2  14.6 999.0 99.0 99.00
2016 01 01 11 50 299  1.4  2.3  1.13 10.81  8.49 293 1017.9  12.3  14.6 999.0 99.0 99.00
2016 01 01 12 50   4  1.0  1.5  1.10 13.79  8.55 284 1017.9  12.2  14.6 999.0 99.0 99.00
2016 01 01 13 50 179  1.1  2.1  1.02 13.79  8.24 313 1018.3  12.3  14.6 999.0 99.0 99.00
2016 01 01 14 50 130  7.3  8.7  1.06 13.79  8.17 291 1018.4  13.6  14.6 999.0 99.0 99.00
2016 01 01 15 50 132  8.2  9.5  1.40 13.79  5.40 285 1019.1  13.6  14.6 999.0 99.0 99.00
2016 01 01 16 50 129  8.6 10.1  1.47 13.79  5.66 262 1019.6  13.7  14.6 999.0 99.0 99.00
2016 01 01 17 50 125  8.0  9.4  1.49 14.81  5.48 295 1020.4  13.6  14.6 999.0 99.0 99.00
2016 01 01 18 50 115  8.2 10.4  1.57 14.81  5.72 285 1020.3  13.6  14.6 999.0 99.0 99.00
2016 01 01 19 50 121  6.7  7.7  1.48 12.12  5.49 271 1019.7  13.8  14.6 999.0 99.0 99.00
2016 01 01 20 50 132  4.5  6.3  1.49 13.79  6.04 296 1019.1  14.1  14.7 999.0 99.0 99.00
2016 01 01 21 50 153  3.3  4.6  1.71 17.39  7.33 320 1018.3  14.4  14.7 999.0 99.0 99.00
2016 01 01 22 50 224  1.7  2.3  1.46 19.05  6.82   5 1018.3  14.0  14.8 999.0 99.0 99.00
2016 01 01 23 50 260  2.0  2.6  1.49 17.39  7.22 283 1018.2  13.7  14.8 999.0 99.0 99.00
2016 01 02 00 50 270  1.7  2.7  1.48 17.39  8.25 291 1018.0  13.6  14.7 999.0 99.0 99.00
