#YY  MM DD hh mm WDIR WSPD GST  WVHT   DPD   APD MWD   PRES  ATMP  WTMP  DEWP  VIS  TIDE
#yr  mo dy hr mn degT m/s  m/s     m   sec   sec degT   hPa  degC  degC  degC   mi    ft
2012 12 31 23 50 330  7.8  9.0  1.27  7.69  4.42 999 1023.1  12.1  13.0 999.0 99.0 99.00
2013 01 01 00 50 323  6.5 99.0 99.00 99.00 99.00 999 9999.0 999.0 999.0 999.0 99.0 99.00
2013 01 01 02 50 326  7.6  9.0 99.00 99.00 99.00 999 1023.5  11.8  13.0 999.0 99.0 99.00
2013 01 01 03 50 343  7.0  8.8  1.31  9.09  4.64 999 1023.6  11.8  12.9 999.0 99.0 99.00
2013 01 01 04 50 335  5.1  6.3  1.19  7.69  5.03 999 1023.9  11.6  12.9 999.0 99.0 99.00
2013 01 01 05 50 342  5.5  6.9  1.32 17.39  5.53 999 1024.1  11.9  12.9 999.0 99.0 99.00
2013 01 01 06 50 343  5.0  6.2 99.00 99.00 99.00 999 1024.3  11.5  12.9 999.0 99.0 99.00
2013 01 01 07 50 346  4.2  5.0 99.00 99.00 99.00 999 1023.8  11.5  12.9 999.0 99.0 99.00
2013 01 01 08 50 320  3.2  4.4 99.00 99.00 99.00 999 1023.5  11.5  12.9 999.0 99.0 99.00
2013 01 01 09 50 324  3.7  5.0  2.36 17.39  9.84 999 1023.5  11.7  12.8 999.0 99.0 99.00
2013 01 01 10 50 337  3.7  4.7  1.94 17.39  8.42 999 1023.1  11.7  12.8 999.0 99.0 99.00
2013 01 01 11 50  75  1.7 99.0 99.00 99.00 99.00 999 9999.0  11.5 999.0 999.0 99.0 99.00
2013 01 01 12 50 299  1.2  2.1  1.83 17.39  8.22 999 1023.0  11.6  12.8 999.0 99.0 99.00
2013 01 01 13 50 349  1.6 99.0 99.00 99.00 99.00 999 1022.5  11.5 999.0 999.0 99.0 99.00
2013 01 01 15 50  10  3.5  4.4 99.00 99.00 99.00 999 1023.2  11.7  12.8 999.0 99.0 99.00
2013 01 01 16 50 110  2.6 99.0 99.00 99.00 99.00 999 1023.3  11.9  12.9 999.0 99.0 99.00
2013 01 01 17 50 126  3.9  5.2 99.00 99.00 99.00 999 1023.3  12.0  12.9 999.0 99.0 99.00
2013 01 01 18 50 123  3.1  4.5 99.00 99.00 99.00 999 1023.1  12.1  12.9 999.0 99.0 99.00
2013 01 01 19 50 108  3.1  4.3 99.00 99.00 99.00 999 1022.0  12.0  13.0 999.0 99.0 99.00
2013 01 01 20 50 122  4.4  5.5 99.00 99.00 99.00 999 1020.7  12.0  13.0 999.0 99.0 99.00
2013 01 01 21 50 137  2.7  4.0 99.00 99.00 99.00 999 1020.2  12.2  13.0 999.0 99.0 99.00
2013 01 01 22 50 156  0.9  1.8 99.00 99.00 99.00 999 1020.1  12.2  13.1 999.0 99.0 99.00
2013 01 01 23 50 332  2.0  3.5  2.54 14.81 12.26 999 1020.6  12.1  13.1 999.0 99.0 99.00
2013 01 02 00 50 326  2.6  3.6  2.05 16.00 10.76 999 1020.6  12.1  13.0 999.0 99.0 99.00
2013 01 02 01 50 346  4.4  5.4  2.29 14.81 11.77 999 1020.7  12.2  13.0 999.0 99.0 99.00
2013 01 02 02 50 354  5.0  6.1 99.00 99.00 99.00 999 1020.8  12.2  13.0 999.0 99.0 99.00
2013 01 02 03 50   7  2.9  3.6 99.00 99.00 99.00 999 1020.9  12.2  12.9 999.0 99.0 99.00
2013 01 02 04 50 341  4.5  5.4  1.68 14.81 10.03 999 1021.5  12.3  12.9 999.0 99.0 99.00
2013 01 02 05 50   2  4.7  5.5 99.00 99.00 99.00 999 1021.5  12.3  12.9 999.0 99.0 99.00
2013 01 02 06 50 346  3.0  3.9  2.08 13.79 10.96 999 1021.7  12.3  12.8 999.0 99.0 99.00
2013 01 02 08 50  42  1.0  2.0 99.00 99.00 99.00 999 1020.6  12.2  12.8 999.0 99.0 99.00
2013 01 02 09 50   5  2.3  3.0  1.99 16.00 11.26 999 1020.5  12.1  12.8 999.0 99.0 99.00
2013 01 02 10 50 320  3.1  4.0 99.00 99.00 99.00 999 1020.3  12.1  12.8 999.0 99.0 99.00
2013 01 02 11 50 299  4.2  5.1 99.00 99.00 99.00 999 1020.1  12.3  12.9 999.0 99.0 99.00
2013 01 02 12 50 306  5.6 99.0 99.00 99.00 99.00 999 1019.6  12.2 999.0 999.0 99.0 99.00
2013 01 02 13 50 331  3.6  4.5  2.18 16.00  9.84 999 1019.4  11.9  12.8 999.0 99.0 99.00
2013 01 02 14 50 318  2.5  3.6  1.87 13.79  9.27 999 1019.2  12.3  12.7 999.0 99.0 99.00
2013 01 02 16 50 282  2.9  4.4  1.78 14.81 10.02 999 1020.3  12.4  12.9 999.0 99.0 99.00
2013 01 02 17 50 321  3.8  4.5  1.27 13.79  8.03 999 1021.0  12.5  13.0 999.0 99.0 99.00
2013 01 02 18 50 307  4.2  5.1 99.00 99.00 99.00 999 1020.8  12.4  13.1 999.0 99.0 99.00
2013 01 02 19 50 313  3.8  4.6  1.32 16.00  8.51 999 1020.4  12.1  13.1 999.0 99.0 99.00
2013 01 02 20 50 297  5.3  6.8  1.43 14.81  8.30 999 1019.6  11.7  13.2 999.0 99.0 99.00
2013 01 02 21 50 296  7.0  8.4 99.00 99.00 99.00 999 1018.8  12.5  13.1 999.0 99.0 99.00
2013 01 02 22 50 296  6.7  7.8 99.00 99.00 99.00 999 1018.8  13.1  13.1 999.0 99.0 99.00
2013 01 02 23 50 307  7.3  8.4  1.03 14.81  5.18 999 1018.7  13.1  13.1 999.0 99.0 99.00
2013 01 03 00 50 303  5.5  6.4  0.83 12.12  4.27 999 1018.3  13.0  13.1 999.0 99.0 99.00
2013 01 03 01 50 306  4.9 99.0 99.00 99.00 99.00 999 9999.0  13.1 999.0 999.0 99.0 99.00
2013 01 03 02 50 292  4.2 99.0 99.00 99.00 99.00 999 9999.0 999.0 999.0 999.0 99.0 99.00
