#YY  MM DD hh mm WDIR WSPD GST  WVHT   DPD   APD MWD   PRES  ATMP  WTMP  DEWP  VIS  TIDE
#yr  mo dy hr mn degT m/s  m/s     m   sec   sec degT   hPa  degC  degC  degC   mi    ft
2010 12 31 23 50 304  8.1  9.5  1.36 10.00  5.31 999 1017.8  11.0  12.4 999.0 99.0 99.00
2011 01 01 00 50 315  7.6  9.0  1.50 10.81  5.56 999 1017.7  11.0  12.4 999.0 99.0 99.00
2011 01 01 01 50 321  6.2  7.5  1.62 10.81  5.96 999 1018.1  11.0  12.4 999.0 99.0 99.00
2011 01 01 02 50 332  6.1  7.0  1.54 10.81  6.16 999 1018.2  10.9  12.2 999.0 99.0 99.00
2011 01 01 03 50 326  4.9  6.0  1.47 10.00  6.31 999 1018.9  11.0  12.0 999.0 99.0 99.00
2011 01 01 04 50 339  3.3  4.0  1.59 10.81  6.79 999 1019.1  10.8  12.0 999.0 99.0 99.00
2011 01 01 05 50 345  3.2  4.0  1.53 11.43  6.88 999 1020.0  10.7  12.0 999.0 99.0 99.00
2011 01 01 06 50 108  2.2  3.2  1.62 10.81  7.29 999 1020.6  10.4  12.0 999.0 99.0 99.00
2011 01 01 07 50  97  3.3  4.3  1.51 11.43  7.18 999 1020.7  10.7  12.0 999.0 99.0 99.00
2011 01 01 08 50 108  5.8  6.8  1.50 11.43  7.39 999 1020.5  11.2  12.0 999.0 99.0 99.00
2011 01 01 09 50 114  7.0  8.2  1.50 11.43  6.29 999 1020.7  11.2  12.0 999.0 99.0 99.00
2011 01 01 10 50 116  7.1  9.1  1.78 10.81  6.44 999 1020.7  11.4  12.0 999.0 99.0 99.00
2011 01 01 11 50 120  7.2  8.7  1.67 10.81  5.81 999 1020.7  11.3  12.0 999.0 99.0 99.00
2011 01 01 12 50 122  8.3 99.0  1.55 10.81  5.33 999 1020.3  11.1 999.0 999.0 99.0 99.00
2011 01 01 13 50 123  7.6  9.0  1.49 11.43  5.57 999 1020.9  11.4  12.1 999.0 99.0 99.00
2011 01 01 14 50 128  8.1  9.6  1.48 12.12  5.59 999 1021.4  11.3  12.1 999.0 99.0 99.00
2011 01 01 15 50 128  7.1  8.6  1.35 12.12  5.18 999 1022.6  11.9  12.1 999.0 99.0 99.00
2011 01 01 16 50 119  8.1  9.6  1.39 12.12  5.10 999 1023.3  11.7  12.2 999.0 99.0 99.00
2011 01 01 17 50 119  8.1  9.8  1.21 12.12  4.84 999 1024.1  12.0  12.3 999.0 99.0 99.00
2011 01 01 18 50 118  8.4  9.6  1.28 11.43  4.69 999 1024.0  11.9  12.3 999.0 99.0 99.00
2011 01 01 19 50 113  8.7 10.3  1.14  4.55  4.17 999 1023.3  11.8  12.3 999.0 99.0 99.00
2011 01 01 20 50 112  9.0 11.1  1.16  4.55  4.18 999 1022.3  12.1  12.3 999.0 99.0 99.00
2011 01 01 21 50 122  8.1  9.5  1.20  4.35  4.09 999 1022.2  12.1  12.1 999.0 99.0 99.00
2011 01 01 22 50 122  8.4 10.0  1.11  4.55  4.08 999 1021.9  12.0  12.1 999.0 99.0 99.00
2011 01 01 23 50 123  9.1 10.4  1.15 11.43  4.25 999 1021.7  11.9  12.2 999.0 99.0 99.00
2011 01 02 00 50 131  8.2  9.7  1.12 10.81  4.21 999 1021.7  12.1  12.2 999.0 99.0 99.00
2011 01 02 01 50 130  9.0 10.3  1.01  4.35  3.91 999 1021.4  11.9  12.3 999.0 99.0 99.00
2011 01 02 02 50 131  9.1 10.7  1.10  4.55  4.18 999 1021.6  11.9  12.3 999.0 99.0 99.00
2011 01 02 03 50 134  7.8  9.3  1.09 10.81  4.10 999 1021.9  11.9  12.4 999.0 99.0 99.00
2011 01 02 04 50 127  7.9  9.4  1.05  4.55  4.03 999 1021.7  11.8  12.4 999.0 99.0 99.00
2011 01 02 05 50 122  8.9 10.6  1.02  4.35  3.88 999 1021.1  12.0  12.4 999.0 99.0 99.00
2011 01 02 06 50 127  9.5 11.0  1.11  4.35  3.85 999 1020.8  11.6  12.4 999.0 99.0 99.00
2011 01 02 07 50 126 11.1 13.2  1.30  4.17  3.88 999 1019.9  11.7  12.4 999.0 99.0 99.00
2011 01 02 08 50 127 10.7 13.1  1.27  4.76  3.99 999 1019.3  10.4  12.3 999.0 99.0 99.00
2011 01 02 09 50 126 11.8 13.7  1.45  5.00  4.00 999 1018.7  11.8  12.2 999.0 99.0 99.00
2011 01 02 10 50 129 12.5 15.4 99.00 99.00 99.00 999 1018.3  11.8  12.1 999.0 99.0 99.00
2011 01 02 11 50 125 13.4 16.5  1.82  5.26  4.39 999 1017.1  11.3  12.1 999.0 99.0 99.00
2011 01 02 12 50 124 12.9 15.5  2.26 16.00  5.17 999 1016.7  10.0  12.1 999.0 99.0 99.00
2011 01 02 13 50 129 12.6 14.7  2.17 16.00  5.42 999 1016.6  10.2  12.1 999.0 99.0 99.00
2011 01 02 14 50 112 13.4 16.5  2.30 16.00  5.46 999 1015.9   9.9  12.3 999.0 99.0 99.00
2011 01 02 15 50 117 13.7 17.1  2.43 16.00  5.34 999 1015.4  10.5  12.3 999.0 99.0 99.00
2011 01 02 16 50 107 14.0 17.0  2.93 16.00  5.86 999 1015.3   9.4  12.3 999.0 99.0 99.00
2011 01 02 17 50 112 13.7 17.5 99.00 99.00 99.00 999 1015.6   9.5  12.3 999.0 99.0 99.00
2011 01 02 18 50 109 14.2 19.0  3.19 14.81  6.16 999 1015.2  10.0  12.3 999.0 99.0 99.00
2011 01 02 19 50  98 13.6 17.7  3.35 12.90  6.38 999 1014.6   9.9  12.3 999.0 99.0 99.00
2011 01 02 20 50 100 12.7 16.1 99.00 99.00 99.00 999 1014.0   9.0  12.3 999.0 99.0 99.00
2011 01 02 21 50 108 11.1 15.1  3.33 14.81  6.70 999 1013.5  11.0  12.3 999.0 99.0 99.00
2011 01 02 22 50 102 10.7 99.0 99.00 99.00 99.00 999 9999.0 999.0 999.0 999.0 99.0 99.00
2011 01 02 23 50 109  9.8 12.4  3.08 14.81  6.61 999 1013.8   9.8  12.3 999.0 99.0 99.00
2011 01 03 00 50 112  9.6 12.0  3.09 14.81  6.67 999 1013.8  10.5  12.3 999.0 99.0 99.00
2011 01 03 01 50 110  8.9 10.7  2.83 14.81  6.33 999 1014.0  10.6  12.3 999.0 99.0 99.00
2011 01 03 02 50 114  8.4 11.1  3.02 14.81  7.05 999 1014.2  10.7  12.3 999.0 99.0 99.00
2011 01 03 03 50 121  8.7 10.7  2.82 14.81  6.78 999 1014.2  10.4  12.3 999.0 99.0 99.00
2011 01 03 04 50 116  7.6  9.7  2.87 13.79  6.77 999 1014.4   9.7  12.3 999.0 99.0 99.00
2011 01 03 05 50 129  6.7  9.0  2.82 13.79  6.90 999 1014.6  10.2  12.3 999.0 99.0 99.00
2011 01 03 06 50 106  7.7  9.6 99.00 99.00 99.00 999 1014.7  10.0  12.3 999.0 99.0 99.00
2011 01 03 07 50 105  8.4 10.5 99.00 99.00 99.00 999 1014.7   9.1  12.3 999.0 99.0 99.00
2011 01 03 08 50 104  8.8 11.4  3.07 13.79  6.93 999 1014.5   9.0  12.2 999.0 99.0 99.00
2011 01 03 09 50  92  8.3 11.2 99.00 99.00 99.00 999 1014.9  10.1  12.2 999.0 99.0 99.00
2011 01 03 12 50 102  7.8 10.4  3.14 12.90  7.57 999 1015.1  10.2  12.1 999.0 99.0 99.00
2011 01 03 13 50 102  7.4  9.3  2.74 12.12  7.23 999 1015.3  10.1  12.1 999.0 99.0 99.00
2011 01 03 14 50 108  7.5  9.2  2.62 11.43  7.37 999 1015.6  10.0  12.1 999.0 99.0 99.00
2011 01 03 15 50 107  6.1  7.8  2.74 12.90  7.57 999 1016.6  10.4  12.1 999.0 99.0 99.00
2011 01 03 16 50 102  5.7  7.5  2.79 12.12  7.56 999 1017.4  10.4  12.1 999.0 99.0 99.00
2011 01 03 17 50  94  6.9  8.8  2.68 13.79  7.43 999 1017.8  11.7  12.1 999.0 99.0 99.00
2011 01 03 18 50 102  7.3  9.0 99.00 99.00 99.00 999 1017.9  11.7  12.2 999.0 99.0 99.00
2011 01 03 19 50 118  6.8  8.8  2.71 12.90  7.35 999 1017.5  12.0  12.2 999.0 99.0 99.00
2011 01 03 20 50 125  6.6  8.6  2.60 12.90  7.22 999 1017.4  12.0  12.2 999.0 99.0 99.00
2011 01 03 21 50 117  6.4  7.9  2.44 13.79  7.32 999 1016.9  12.6  12.3 999.0 99.0 99.00
2011 01 03 22 50 129  5.4  6.7  2.37 13.79  7.39 999 1017.2  13.1  12.3 999.0 99.0 99.00
2011 01 03 23 50 128  4.2  5.3  2.09 12.90  7.12 999 1017.3  12.2  12.3 999.0 99.0 99.00
2011 01 04 00 50  92  5.9  7.2  2.31 12.12  7.81 999 1017.5  11.7  12.3 999.0 99.0 99.00
2011 01 04 01 50 127  3.3  4.3  2.31 12.90  8.06 999 1018.0  11.3  12.3 999.0 99.0 99.00
2011 01 04 02 50 254  3.0  4.1  2.36 12.90  8.08 999 1018.9  10.9  12.2 999.0 99.0 99.00
2011 01 04 03 50 286  2.5  3.2  2.02 12.90  7.93 999 1019.3  10.9  12.2 999.0 99.0 99.00
2011 01 04 04 50 352  2.2  2.7  1.90 12.90  7.54 999 1019.9  10.8  12.2 999.0 99.0 99.00
2011 01 04 05 50  84  3.4  4.9  1.95 12.12  8.07 999 1020.1  11.5  12.2 999.0 99.0 99.00
2011 01 04 06 50  97  6.1  7.7  2.28 12.90  8.85 999 1020.2  11.9  12.2 999.0 99.0 99.00
2011 01 04 07 50  35  5.3  6.5  2.06 12.90  7.46 999 1020.4  11.1  12.3 999.0 99.0 99.00
2011 01 04 08 50  40  3.8  4.4  2.19 12.90  7.67 999 1020.3  10.6  12.4 999.0 99.0 99.00
2011 01 04 09 50  63  4.0  5.2  2.10 12.12  7.74 999 1020.5  10.7  12.4 999.0 99.0 99.00
2011 01 04 10 50  74  5.9  8.1  1.99 11.43  6.57 999 1020.5  11.5  12.4 999.0 99.0 99.00
2011 01 04 11 50  59  4.2  5.2  2.09 12.12  6.61 999 1020.8  11.2  12.4 999.0 99.0 99.00
2011 01 04 12 50  51  4.2  5.0  1.80 10.81  6.15 999 1020.6  11.0  12.4 999.0 99.0 99.00
2011 01 04 13 50  50  5.1  6.3  1.84 10.81  6.40 999 1021.1  11.4  12.3 999.0 99.0 99.00
2011 01 04 14 50  95  6.4  7.9  2.04 12.90  7.03 999 1021.4  11.7  12.3 999.0 99.0 99.00
2011 01 04 15 50  87  7.2  9.0  1.70 10.81  5.86 999 1021.5  12.5  12.3 999.0 99.0 99.00
2011 01 04 16 50  86  5.7  7.8 99.00 99.00 99.00 999 1022.3  12.9  12.2 999.0 99.0 99.00
2011 01 04 17 50  96  5.6  7.0  1.69 11.43  5.81 999 1023.1  13.2  12.2 999.0 99.0 99.00
2011 01 04 18 50  99  4.9  6.0  1.78 13.79  6.71 999 1023.1  13.3  12.1 999.0 99.0 99.00
2011 01 04 19 50  81  3.0  4.1 99.00 99.00 99.00 999 1022.7  13.8  12.2 999.0 99.0 99.00
2011 01 04 20 50  35  2.7  3.5  1.95 17.39  8.14 999 1022.2  13.0  12.4 999.0 99.0 99.00
2011 01 04 21 50  59  1.9  2.7  1.73 16.00  8.20 999 1022.1  13.6  12.5 999.0 99.0 99.00
2011 01 04 22 50  51  2.7  3.4  2.63 17.39 11.07 999 1022.0  13.7  12.6 999.0 99.0 99.00
2011 01 04 23 50  15  0.8  1.4  1.97 14.81  9.78 999 1022.2  14.6  12.6 999.0 99.0 99.00
2011 01 05 00 50 342  0.9  1.6  2.39 14.81 11.19 999 1022.3  12.8  12.6 999.0 99.0 99.00
2011 01 05 01 50 311  2.2  2.9  2.48 16.00 11.65 999 1022.3  11.4  12.5 999.0 99.0 99.00
2011 01 05 02 50 346  2.6  3.3  2.59 14.81 12.36 999 1022.4  11.4  12.4 999.0 99.0 99.00
2011 01 05 03 50   5  1.7  2.4  2.53 16.00 12.49 999 1022.2  11.4  12.3 999.0 99.0 99.00
2011 01 05 04 50  24  1.2  1.7  3.12 17.39 13.28 999 1022.5  11.1  12.3 999.0 99.0 99.00
2011 01 05 05 50  43  0.7  1.6  2.61 16.00 12.66 999 1022.9  10.4  12.3 999.0 99.0 99.00
2011 01 05 06 50  67  2.7  3.8  2.40 14.81 12.44 999 1023.3  11.4  12.3 999.0 99.0 99.00
2011 01 05 07 50 118  1.2  1.9 99.00 99.00 99.00 999 1023.3  10.8  12.3 999.0 99.0 99.00
2011 01 05 08 50  40  1.1  1.7  2.81 16.00 12.57 999 1023.2  10.7  12.3 999.0 99.0 99.00
2011 01 05 09 50  44  1.0  1.7  2.14 12.90 11.27 999 1023.2  10.5  12.4 999.0 99.0 99.00
2011 01 05 10 50  60  3.2  4.1  2.54 16.00 12.21 999 1023.2  11.2  12.3 999.0 99.0 99.00
2011 01 05 11 50  66  2.7  3.7  2.22 16.00 12.33 999 1023.1  11.2  12.2 999.0 99.0 99.00
2011 01 05 12 50  81  2.5  3.2  1.68 16.00 10.85 999 1023.0  11.0  12.1 999.0 99.0 99.00
2011 01 05 13 50  92  1.3  2.3  2.43 16.00 12.74 999 1023.3  10.8  12.1 999.0 99.0 99.00
2011 01 05 14 50  75  1.6  2.3  2.06 16.00 12.01 999 1023.5  10.9  12.1 999.0 99.0 99.00
2011 01 05 15 50  89  1.8  2.7  2.08 16.00 11.63 999 1023.8  11.7  12.1 999.0 99.0 99.00
2011 01 05 16 50  97  2.6  3.5  1.94 16.00 11.53 999 1024.1  12.3  12.2 999.0 99.0 99.00
2011 01 05 17 50  50  2.4  3.2  2.00 16.00 11.14 999 1024.3  13.4  12.3 999.0 99.0 99.00
2011 01 05 18 50  81  1.6  2.4  1.99 14.81 11.03 999 1024.1  14.0  12.4 999.0 99.0 99.00
2011 01 05 19 50 127  1.1  2.3  2.08 13.79 10.71 999 1023.3  14.4  12.6 999.0 99.0 99.00
2011 01 05 20 50 162  1.5  2.4  2.15 13.79 10.67 999 1022.6  14.0  12.7 999.0 99.0 99.00
2011 01 05 21 50 297  2.2  3.5  2.22 14.81 10.56 999 1022.0  13.7  12.9 999.0 99.0 99.00
2011 01 05 22 50 292  4.3  5.4  1.88 13.79 10.76 999 1021.8  13.3  12.9 999.0 99.0 99.00
2011 01 05 23 50 281  4.2  5.3  1.98 14.81 11.65 999 1021.8  13.2  12.7 999.0 99.0 99.00
2011 01 06 00 50 280  3.8  5.2  1.77 13.79 10.77 999 1021.5  12.4  12.7 999.0 99.0 99.00
2011 01 06 01 50 299  4.5  5.5  1.92 13.79 10.46 999 1021.2  12.0  12.6 999.0 99.0 99.00
2011 01 06 02 50 301  4.2  5.2  1.60 14.81  9.29 999 1021.4  11.8  12.5 999.0 99.0 99.00
2011 01 06 03 50 296  4.3  5.4  1.85 14.81 10.60 999 1021.4  11.9  12.4 999.0 99.0 99.00
2011 01 06 04 50 303  4.1  4.9  1.76 14.81 10.87 999 1021.5  11.9  12.4 999.0 99.0 99.00
2011 01 06 05 50 305  3.9  5.5  1.99 14.81 11.12 999 1021.7  11.9  12.3 999.0 99.0 99.00
2011 01 06 06 50 335  3.0  3.9  1.79 13.79 10.87 999 1021.7  11.7  12.4 999.0 99.0 99.00
2011 01 06 07 50  89  1.7  2.7  1.88 14.81 10.80 999 1021.9  11.4  12.3 999.0 99.0 99.00
2011 01 06 08 50  77  2.6  3.6  1.82 14.81 10.68 999 1021.5  11.3  12.3 999.0 99.0 99.00
2011 01 06 09 50  50  2.0  2.6  1.69 16.00 10.42 999 1021.6  11.2  12.3 999.0 99.0 99.00
2011 01 06 10 50  52  2.8  3.6  1.91 13.79 10.92 999 1021.1  11.5  12.3 999.0 99.0 99.00
2011 01 06 11 50  18  1.6  2.0  1.59 13.79  9.89 999 1020.7  11.3  12.3 999.0 99.0 99.00
2011 01 06 12 50 274  0.5  1.2  1.77 13.79 10.21 999 1020.8  11.1  12.2 999.0 99.0 99.00
2011 01 06 13 50 258  1.3  1.9  1.44 12.90  9.86 999 1020.9  11.1  12.2 999.0 99.0 99.00
2011 01 06 14 50 315  1.7  2.3  1.60 13.79 10.40 999 1020.8  11.3  12.2 999.0 99.0 99.00
2011 01 06 15 50 324  1.2  1.6  1.55 14.81 10.36 999 1020.7  11.4  12.2 999.0 99.0 99.00
2011 01 06 16 50  56  1.4  1.8  1.61 13.79 10.66 999 1021.1  12.0  12.2 999.0 99.0 99.00
2011 01 06 17 50  53  1.6  2.1  1.58 14.81 10.43 999 1021.2  12.3  12.3 999.0 99.0 99.00
2011 01 06 18 50 194  1.3  1.7  1.77 13.79 10.60 999 1021.2  12.2  12.3 999.0 99.0 99.00
2011 01 06 19 50 193  1.8  3.0  1.76 12.90 10.82 999 1020.5  12.4  12.3 999.0 99.0 99.00
2011 01 06 20 50  26  2.2  3.3  2.08 14.81 11.29 999 1019.4  13.5  12.4 999.0 99.0 99.00
2011 01 06 21 50  20  2.9  3.6  1.90 13.79 11.28 999 1018.8  13.6  12.5 999.0 99.0 99.00
2011 01 06 22 50  23  1.8  2.4  1.67 13.79 10.52 999 1018.4  13.1  12.5 999.0 99.0 99.00
2011 01 06 23 50 244  1.6  2.0  1.85 13.79 11.34 999 1018.5  12.9  12.5 999.0 99.0 99.00
2011 01 07 00 50 245  1.6  2.2  1.93 13.79 11.27 999 1018.7  12.0  12.4 999.0 99.0 99.00
2011 01 07 01 50 288  2.5  3.4  1.86 13.79 10.98 999 1018.5  12.1  12.3 999.0 99.0 99.00
2011 01 07 02 50 325  2.5  3.1  1.85 19.05 11.58 999 1018.7  12.2  12.3 999.0 99.0 99.00
2011 01 07 03 50 311  2.1  2.7  1.74 19.05 11.07 999 1018.4  12.1  12.3 999.0 99.0 99.00
2011 01 07 04 50 330  0.8  1.4  1.68 19.05 11.51 999 1018.8  11.8  12.3 999.0 99.0 99.00
2011 01 07 05 50 308  1.7  2.6  2.02 13.79 11.93 999 1018.6  11.8  12.4 999.0 99.0 99.00
2011 01 07 06 50   2  2.1  2.8  2.23 17.39 12.64 999 1018.6  12.2  12.3 999.0 99.0 99.00
2011 01 07 07 50   2  2.6  3.2  2.04 17.39 11.60 999 1017.9  12.2  12.3 999.0 99.0 99.00
2011 01 07 08 50  56  1.1  1.7  2.44 17.39 12.23 999 1017.6  12.0  12.2 999.0 99.0 99.00
2011 01 07 09 50 198  2.2  3.5  2.51 17.39 12.46 999 1017.8  12.1  12.2 999.0 99.0 99.00
2011 01 07 10 50  57  1.6  2.6  2.58 17.39 12.20 999 1017.6  11.9  12.6 999.0 99.0 99.00
2011 01 07 11 50  96  1.2  2.2  2.88 17.39 12.34 999 1017.1  12.0  12.6 999.0 99.0 99.00
2011 01 07 12 50 229  1.9  2.9  2.48 17.39 12.19 999 1017.1  12.1  12.6 999.0 99.0 99.00
