#YY  MM DD hh mm WDIR WSPD GST  WVHT   DPD   APD MWD   PRES  ATMP  WTMP  DEWP  VIS  TIDE
#yr  mo dy hr mn degT m/s  m/s     m   sec   sec degT   hPa  degC  degC  degC   mi    ft
2015 01 03 02 50 325  6.4  7.5  1.30 12.90  6.10 291 1019.2  13.6  15.7 999.0 99.0 99.00
2015 01 03 03 50 328  6.9  8.8  1.37 12.90  6.21 292 1019.6  13.7  15.7 999.0 99.0 99.00
2015 01 03 04 50 336  7.1  8.2  1.26 12.12  5.97 274 1019.7  13.7  15.7 999.0 99.0 99.00
2015 01 03 05 50 351  6.6  8.3  1.18 12.90  6.05 287 1019.9  13.6  15.7 999.0 99.0 99.00
2015 01 03 06 50  13  4.2  6.3  1.08 12.90  5.85 292 1020.3  13.4  15.7 999.0 99.0 99.00
2015 01 03 07 50 354  3.4  4.9  1.09 12.90  5.94 288 1020.6  13.3  15.7 999.0 99.0 99.00
2015 01 03 08 50 353  4.7  6.2  1.06 12.12  6.02 282 1020.4  13.2  15.6 999.0 99.0 99.00
2015 01 03 09 50  13  3.7  5.0  1.04 12.90  6.11 295 1020.8  12.9  15.7 999.0 99.0 99.00
2015 01 03 10 50  17  2.5  3.4  0.97 12.12  5.93 274 1020.7  13.0  15.7 999.0 99.0 99.00
2015 01 03 11 50  21  1.6  2.3  1.02 12.12  6.03 301 1020.7  13.2  15.7 999.0 99.0 99.00
2015 01 03 12 50 323  2.8  3.7  0.99 11.43  6.02 298 1021.2  13.3  15.7 999.0 99.0 99.00
2015 01 03 13 50 314  2.7  3.4  1.04 12.12  6.30 294 1021.5  13.2  15.7 999.0 99.0 99.00
2015 01 03 14 50 328  3.0  3.7  1.24 12.12  7.07 293 1021.8  13.2  15.7 999.0 99.0 99.00
2015 01 03 15 50 337  4.2  5.1  1.11 12.12  6.30 297 1022.3  13.3  15.7 999.0 99.0 99.00
2015 01 03 16 50 342  3.5  4.5  1.15 12.12  6.46 302 1023.0  13.2  15.7 999.0 99.0 99.00
2015 01 03 17 50 360  2.6  3.4  1.11 12.12  6.52 295 1023.8  13.2  15.8 999.0 99.0 99.00
2015 01 03 18 50 316  1.3  2.6  0.96 11.43  6.23 292 1023.7  13.3  15.8 999.0 99.0 99.00
2015 01 03 19 50 309  1.8  2.6  1.03 12.12  6.50 292 1023.4  13.5  15.9 999.0 99.0 99.00
2015 01 03 20 50 327  2.1  3.0  0.90 12.12  6.35 302 1022.8  13.5  16.1 999.0 99.0 99.00
2015 01 03 21 50 324  2.3  3.1  0.86 11.43  6.27 289 1022.6  13.6  16.1 999.0 99.0 99.00
2015 01 03 22 50 321  2.4  3.7  0.84 11.43  6.49 287 1023.0  13.8  16.1 999.0 99.0 99.00
2015 01 03 23 50 288  3.6  4.6  0.90 12.12  6.56 276 1023.5  13.9  16.0 999.0 99.0 99.00
2015 01 04 00 50 305  5.0  5.9  0.87 12.12  6.95 296 1024.0  13.7  16.0 999.0 99.0 99.00
2015 01 04 01 50 316  4.8  6.4  0.86 11.43  6.72 289 1024.1  13.7  15.9 999.0 99.0 99.00
2015 01 04 02 50 321  5.1  6.3  0.89 11.43  6.33 316 1024.3  13.6  15.8 999.0 99.0 99.00
2015 01 04 03 50 344  5.7  6.9  0.87 11.43  5.97 286 1024.5  13.6  15.8 999.0 99.0 99.00
