DeployID,FieldID,Species,Site,TDRFilename,Deployed,Recovered,DataBlock0Rate,FastLogRate,Threshold,WetDry
269,LAW2014WTSH021A,WTSH,LAW,LAW_WTSH_021_30018_A10348_100114,2014-10-02 05:46,2014-10-06 13:00,3600,0.2,1,TRUE
270,LAW2014WTSH022A,WTSH,LAW,LAW_WTSH_022_30019_A10367_100114,2014-10-02 06:07,2014-10-07 12:03,3600,0.2,1,TRUE
275,LAW2014WTSH027A,WTSH,LAW,LAW_WTSH_027_30024_A10356_100114,2014-10-02 07:47,2014-10-05 08:46,3600,0.2,1,FALSE
276,LAW2014WTSH028A,WTSH,LAW,LAW_WTSH_028_30025_A10353_100114,2014-10-02 07:54,2014-10-05 09:02,3600,0.2,1,FALSE
290,LEH2014RTTR094A,RTTR,LEH,LEH2014RTTR094_A10373_061614,2014-06-14 21:12,2014-06-16 20:33,3600,0.1,0,FALSE
315,LEH2014RTTR040A,RTTR,LEH,LEH2014RTTR040_A10363_061514,2014-06-13 23:36,2014-06-15 20:30,3600,0.1,0,FALSE
316,LEH2014RTTR003A,RTTR,LEH,LEH2014RTTR003_A10356_061614,2014-06-14 03:50,2014-06-16 19:38,3600,0.1,0,FALSE
317,LEH2014RTTR048A,RTTR,LEH,LEH2014RTTR048_A10357_061514,2014-06-14 04:41,2014-06-15 21:07,3600,0.1,0,FALSE
319,LEH2014RTTR057A,RTTR,LEH,LEH2014RTTR057_A10355_061714,2014-06-14 22:30,2014-06-17 19:36,3600,0.1,0,FALSE
320,LEH2014RTTR104A,RTTR,LEH,LEH2014RTTR104A_A10379_071814,2014-07-15 00:47,2014-07-19 00:58,600,0.1,0,FALSE
321,LEH2014RTTR017A,RTTR,LEH,LEH2014RTTR017A_A10360_071814,2014-07-15 22:15,2014-07-18 20:41,600,0.1,0,FALSE
322,LEH2014RTTR036B,RTTR,LEH,LEH2014RTTR036B_A10372_071814,2014-07-15 22:46,2014-07-18 20:10,600,0.1,0,FALSE
324,LEH2014RTTR008A,RTTR,LEH,LEH2014RTTR008_A10344_061614,2014-06-14 21:51,2014-06-16 21:10,3600,0.1,0,FALSE
325,LEH2014RTTR025A,RTTR,LEH,LEH2014RTTR025_A10372_061814,2014-06-14 01:29,2014-06-18 20:24,3600,0.1,0,FALSE
326,LEH2014RTTR090A,RTTR,LEH,LEH2014RTTR090_A10379_061714,2014-06-14 20:12,2014-06-17 21:19,3600,0.1,0,FALSE
327,LEH2014RTTR060A,RTTR,LEH,LEH2014RTTR060_A10359_061614,2014-06-14 21:45,2014-06-16 20:10,3600,0.1,0,FALSE
331,LEH2014RTTR079A,RTTR,LEH,LEH2014RTTR079_A10319_061614,2014-06-16 00:00,2014-06-17 00:35,3600,0.1,0,FALSE
332,LEH2014RTTR014A,RTTR,LEH,LEH2014RTTR014A_A10343_072014,2014-07-15 00:00,2014-07-20 19:35,600,0.1,0,FALSE
338,LEH2014RTTR072A,RTTR,LEH,LEH2014RTTR072A_A10345_071714,2014-07-15 22:07,2014-07-17 22:36,600,0.1,0,FALSE
339,LEH2014RFBO041A,RFBO,LEH,LEH2014RFBO041A_A10315_071914,2014-07-15 05:40,2014-07-20 06:55,600,0.1,0,TRUE
340,LEH2014BRBO005A,BRBO,LEH,LEH_BRBO_005_10710_A10354_051814,2014-05-16 18:12,2014-05-19 04:14,3600,0.1,0,FALSE
341,LEH2014RFBO004A,RFBO,LEH,LEH_RFBO_004_07121_A10363_051714,2014-05-15 01:42,2014-05-17 16:50,3600,0.1,0,FALSE
342,LEH2014RFBO006A,RFBO,LEH,LEH_RFBO_006_07122_A10359_051714,2014-05-15 02:15,2014-05-17 17:19,3600,0.1,0,FALSE
343,LEH2014RFBO008A,RFBO,LEH,LEH_RFBO_008_07123_A10360_051814,2014-05-15 04:08,2014-05-18 17:00,3600,0.1,0,FALSE
344,LEH2014RFBO010A,RFBO,LEH,LEH_RFBO_010_07124_A10361_051814,2014-05-15 04:40,2014-05-18 17:45,3600,0.1,0,FALSE
345,LEH2014RFBO015A,RFBO,LEH,LEH2014RFBO015_A10315_061714,2014-06-14 08:43,2014-06-17 17:39,3600,0.1,1,TRUE
346,LEH2014RFBO018A,RFBO,LEH,LEH2014RFBO018_A10348_061614,2014-06-14 09:15,2014-06-17 07:52,3600,0.1,1,TRUE
