#YY  MM DD hh mm WDIR WSPD GST  WVHT   DPD   APD MWD   PRES  ATMP  WTMP  DEWP  VIS  TIDE
#yr  mo dy hr mn degT m/s  m/s     m   sec   sec deg    hPa  degC  degC  degC  nmi    ft
2008 01 03 03 00  78  4.7  6.3  0.49 12.90  5.41 289 1017.9  15.1  13.3 999.0 99.0 99.00
2008 01 03 04 00  96  3.1  4.1  0.49 16.00  5.97 293 1018.4  14.3  13.3 999.0 99.0 99.00
2008 01 03 05 00  70  1.8  3.1  0.49 16.00  5.71 290 1018.2  13.9  13.3 999.0 99.0 99.00
2008 01 03 06 00 140  1.4  1.9  0.51 16.00  5.06 297 1018.6  14.0  13.3 999.0 99.0 99.00
2008 01 03 07 00  82  1.8  2.2  0.54 12.12  5.95 308 1018.4  13.8  13.3 999.0 99.0 99.00
2008 01 03 08 00 159  1.6  1.8  0.53 16.00  6.81 285 1018.4  13.4  13.2 999.0 99.0 99.00
2008 01 03 09 00 127  2.1  2.5  0.55 11.43  8.03 292 1017.8  13.6  13.2 999.0 99.0 99.00
2008 01 03 11 00 152  1.3  1.8  0.61 14.81  7.39 308 1018.1  13.4  13.2 999.0 99.0 99.00
2008 01 03 12 00 273  0.4  1.0  0.69 14.81  7.61 290 1017.9  13.0  13.1 999.0 99.0 99.00
2008 01 03 13 00 342  0.6  0.9  0.64 14.81  8.02 279 1017.7  12.8  13.1 999.0 99.0 99.00
2008 01 03 14 00 135  2.5  3.3  0.72 13.79  9.61 297 1017.6  13.4  13.1 999.0 99.0 99.00
2008 01 03 16 00 180  0.6  1.3  0.88 13.79 11.08 297 1018.2  13.1  13.1 999.0 99.0 99.00
2008 01 03 17 00  49  1.8  2.9  0.89 13.79 11.05 292 1018.3  13.0  13.2 999.0 99.0 99.00
2008 01 03 18 00 120  3.1  4.1  1.10 13.79 11.06 284 1018.9  13.5  13.2 999.0 99.0 99.00
2008 01 03 19 00 114  4.6  5.5  1.27 13.79 10.07 274 1018.8  13.8  13.2 999.0 99.0 99.00
