#YY  MM DD hh mm WDIR WSPD GST  WVHT   DPD   APD MWD   PRES  ATMP  WTMP  DEWP  VIS  TIDE
#yr  mo dy hr mn degT m/s  m/s     m   sec   sec deg    hPa  degC  degC  degC  nmi    ft
2009 12 31 23 50 295  4.4  5.3 99.00 99.00 99.00 999 1025.6  14.7  14.6 999.0 99.0 99.00
2010 01 01 00 50 280  3.6  4.4  1.13 12.12  8.17 266 1025.7  14.5  14.6 999.0 99.0 99.00
2010 01 01 01 50 272  4.1  4.7 99.00 99.00 99.00 999 1025.7  14.2  14.5 999.0 99.0 99.00
2010 01 01 02 50 269  1.8  2.6  1.22 12.12  7.81 270 1025.9  14.1  14.3 999.0 99.0 99.00
2010 01 01 03 50 240  1.1  1.4  1.17 13.79  7.41 260 1026.3  13.9  14.3 999.0 99.0 99.00
2010 01 01 04 50 214  2.0  2.5  1.12 13.79  7.55 261 1026.5  14.0  14.2 999.0 99.0 99.00
2010 01 01 05 50 210  1.5  1.8  1.16 12.90  7.58 273 1026.7  13.9  14.2 999.0 99.0 99.00
2010 01 01 06 50 210  2.1  2.5  1.12 12.90  7.87 257 1026.8  13.9  14.2 999.0 99.0 99.00
2010 01 01 07 50 206  1.8  2.2  1.07 12.90  7.87 271 1026.4  13.9  14.2 999.0 99.0 99.00
2010 01 01 08 50 187  0.2  0.5  1.05 12.12  7.69 271 1026.0  13.7  14.2 999.0 99.0 99.00
2010 01 01 09 50  35  0.9  1.3  1.12 12.90  8.16 263 1025.6  13.6  14.2 999.0 99.0 99.00
2010 01 01 10 50  90  2.1  2.7  0.95 10.81  7.30 268 1024.6  13.4  14.1 999.0 99.0 99.00
2010 01 01 11 50 143  2.1  2.6  0.95 11.43  7.83 264 1024.1  13.8  14.1 999.0 99.0 99.00
2010 01 01 12 50 256  2.4  3.1  0.93 12.90  7.99 274 1024.1  13.6  14.1 999.0 99.0 99.00
2010 01 01 13 50  49  1.2  1.7  1.00 10.00  8.10 279 1023.9  13.7  14.1 999.0 99.0 99.00
2010 01 01 14 50  88  1.3  2.4  1.03 10.81  8.34 278 1023.8  13.5  14.1 999.0 99.0 99.00
2010 01 01 15 50 338  0.9  1.2  0.96 10.81  8.11 274 1024.1  13.5  14.1 999.0 99.0 99.00
2010 01 01 16 50 331  1.7  2.2  0.89 12.12  8.13 279 1024.4  13.7  14.1 999.0 99.0 99.00
2010 01 01 17 50 263  3.6  4.2  0.86 12.12  7.99 281 1025.1  14.0  14.2 999.0 99.0 99.00
2010 01 01 18 50 237  1.0  2.1  0.97 12.12  7.88 279 1024.4  14.2  14.3 999.0 99.0 99.00
2010 01 01 19 50 209  3.5  4.3  0.99 12.90  7.64 271 1023.2  14.2  14.4 999.0 99.0 99.00
2010 01 01 20 50 190  1.6  2.3  0.99 12.12  7.49 262 1021.8  14.6  14.5 999.0 99.0 99.00
2010 01 01 21 50   5  0.3  0.7  1.12 12.90  7.36 281 1021.0  14.7  14.7 999.0 99.0 99.00
2010 01 01 22 50  67  1.2  1.9  1.16 12.90  6.24 268 1020.6  14.7  14.8 999.0 99.0 99.00
2010 01 01 23 50 218  1.3  2.7  1.29 12.12  6.52 271 1020.5  14.7  14.9 999.0 99.0 99.00
2010 01 02 00 50 174  0.8  1.3  1.31 12.90  6.39 269 1020.1  14.6  14.9 999.0 99.0 99.00
2010 01 02 01 50 156  0.7  1.2  1.27 12.90  6.29 260 1019.9  15.0  14.9 999.0 99.0 99.00
2010 01 02 02 50  83  0.4  0.9  1.26 12.90  6.01 269 1019.9  14.7  14.8 999.0 99.0 99.00
2010 01 02 03 50  29  1.8  2.5  1.34 12.90  6.09 279 1020.0  14.4  14.8 999.0 99.0 99.00
