#YY  MM DD hh mm WDIR WSPD GST  WVHT   DPD   APD MWD   PRES  ATMP  WTMP  DEWP  VIS  TIDE
#yr  mo dy hr mn degT m/s  m/s     m   sec   sec degT   hPa  degC  degC  degC  nmi    ft
2007 01 03 03 00 237  3.7  4.4  1.43 12.90  7.85 999 1017.9  14.3  14.9 999.0 99.0 99.00
2007 01 03 04 00 265  2.6  3.3  1.31 13.79  7.34 999 1018.3  14.2  14.8 999.0 99.0 99.00
2007 01 03 05 00 229  4.6  5.5  1.57 12.90  7.86 999 1018.3  14.4  14.8 999.0 99.0 99.00
2007 01 03 06 00 210  3.7  4.5  1.46 13.79  8.00 999 1017.9  14.6  14.8 999.0 99.0 99.00
2007 01 03 07 00 219  4.3  5.4  1.46 12.12  7.66 999 1018.0  14.3  14.8 999.0 99.0 99.00
2007 01 03 08 00 229  3.5  4.5  1.35 13.79  7.59 999 1017.7  14.3  14.7 999.0 99.0 99.00
2007 01 03 09 00 259  3.1  3.9  1.42 12.12  7.30 999 1017.5  14.5  14.7 999.0 99.0 99.00
2007 01 03 10 00 331  2.4  3.1  1.55 12.90  7.43 999 1018.0  13.9  14.7 999.0 99.0 99.00
2007 01 03 11 00 248  2.0  2.6  1.39 12.12  7.48 999 1017.8  14.0  14.7 999.0 99.0 99.00
2007 01 03 12 00 244  1.8  2.7  1.36 12.12  7.26 999 1017.6  14.2  14.4 999.0 99.0 99.00
2007 01 03 13 00 162  2.1  2.4  1.35 12.12  7.23 999 1017.2  14.1  14.4 999.0 99.0 99.00
2007 01 03 14 00 241  3.1  4.2  1.45 12.12  6.66 999 1017.3  14.2  14.0 999.0 99.0 99.00
2007 01 03 15 00 212  3.0  3.6  1.53 12.12  7.00 999 1017.3  14.3  14.0 999.0 99.0 99.00
2007 01 03 16 00 203  4.0  4.9  1.65 12.90  6.68 999 1017.6  14.1  14.0 999.0 99.0 99.00
2007 01 03 17 00 233  3.5  4.7  1.60 12.90  6.53 999 1018.5  14.5  14.0 999.0 99.0 99.00
2007 01 03 18 00 249  3.3  4.2  1.82 12.90  7.19 999 1019.2  14.2  14.0 999.0 99.0 99.00
2007 01 03 19 00 225  1.3  1.9  1.78 12.12  7.07 999 1018.9  14.7  14.0 999.0 99.0 99.00
2007 01 03 20 00 239  4.0  5.0  1.75 12.90  6.87 999 1017.9  14.3  14.1 999.0 99.0 99.00
2007 01 03 21 00 279  2.1  3.2  1.76 12.12  7.13 999 1017.3  14.7  14.2 999.0 99.0 99.00
2007 01 03 22 00 354  0.5  1.0  1.69 12.12  6.51 999 1017.0  15.5  14.4 999.0 99.0 99.00
2007 01 03 23 00 265  1.7  2.8  1.76 12.12  6.70 999 1017.1  15.4  14.5 999.0 99.0 99.00
2007 01 04 00 00 282  3.0  4.0  1.79 13.79  6.16 999 1017.4  15.1  14.5 999.0 99.0 99.00
2007 01 04 01 00 330  0.8  1.5  1.91  6.67  6.00 999 1017.4  14.6  14.3 999.0 99.0 99.00
2007 01 04 02 00 318  0.8  1.4  1.88 13.79  6.18 999 1017.4  14.2  14.6 999.0 99.0 99.00
2007 01 04 03 00 291  5.5  6.6  1.81 12.90  6.15 999 1017.5  15.1  14.8 999.0 99.0 99.00
2007 01 04 04 00 278  5.7  7.1  1.95 13.79  6.45 999 1017.8  14.6  14.8 999.0 99.0 99.00
2007 01 04 05 00 278  7.0  8.3  1.88 12.90  6.13 999 1017.9  14.1  14.5 999.0 99.0 99.00
2007 01 04 06 00 291  3.8  4.6  1.94 14.81  6.37 999 1018.1  14.5  14.2 999.0 99.0 99.00
2007 01 04 07 00  17  1.1  1.6  1.88 12.90  6.50 999 1018.2  13.9  14.1 999.0 99.0 99.00
2007 01 04 08 00  20  3.4  4.4  1.96 13.79  7.37 999 1018.0  14.0  14.4 999.0 99.0 99.00
2007 01 04 09 00  25  2.7  3.5  1.90 12.90  7.30 999 1017.7  13.7  14.5 999.0 99.0 99.00
2007 01 04 10 00  15  3.0  3.7  1.77 13.79  6.98 999 1018.1  13.7  14.6 999.0 99.0 99.00
2007 01 04 11 00  37  5.4  6.5  2.02 13.79  7.78 999 1017.9  13.7  14.6 999.0 99.0 99.00
2007 01 04 12 00  12  4.2  4.9  1.90 12.12  7.62 999 1018.3  13.6  14.6 999.0 99.0 99.00
2007 01 04 13 00 353  4.5  5.6  1.76 12.90  7.35 999 1018.4  13.5  14.7 999.0 99.0 99.00
2007 01 04 14 00 327  3.8  4.6  1.69 11.43  7.39 999 1018.7  13.3  14.6 999.0 99.0 99.00
2007 01 04 15 00  33  2.8  3.6  1.85 14.81  7.98 999 1018.8  13.6  14.7 999.0 99.0 99.00
2007 01 04 16 00 342  3.1  4.0  1.78 13.79  7.80 999 1019.0  13.4  14.5 999.0 99.0 99.00
2007 01 04 17 00  50  2.4  3.3  1.85 12.90  8.06 999 1019.5  14.1  14.5 999.0 99.0 99.00
2007 01 04 18 00  69  1.1  1.9  1.93 17.39  8.07 999 1020.1  14.4  14.5 999.0 99.0 99.00
2007 01 04 19 00 259  0.6  1.4  1.82 11.43  7.99 999 1020.0  14.9  14.7 999.0 99.0 99.00
2007 01 04 20 00 249  1.0  1.8  1.87 12.90  8.02 999 1018.6  14.7  14.9 999.0 99.0 99.00
2007 01 04 21 00 276  8.0  9.8  1.97 17.39  8.13 999 1017.5  14.3  14.9 999.0 99.0 99.00
2007 01 04 22 00 267  8.8 10.9  2.16 17.39  6.95 999 1017.1  14.3  14.8 999.0 99.0 99.00
2007 01 04 23 00 269  8.7 10.3  2.26 16.00  7.25 999 1016.6  14.4  14.7 999.0 99.0 99.00
2007 01 05 00 00 289 11.1 13.3  2.20 12.90  6.25 999 1016.5  14.6  14.6 999.0 99.0 99.00
2007 01 05 01 00 287 11.9 14.2  2.48 16.00  6.86 999 1016.3  13.9  14.5 999.0 99.0 99.00
2007 01 05 02 00 291 12.9 16.7  2.47 14.81  6.07 999 1016.3  13.5  14.5 999.0 99.0 99.00
2007 01 05 03 00 297 14.3 18.4  2.65 14.81  6.39 999 1016.4  13.0  14.4 999.0 99.0 99.00
2007 01 05 04 00 307 14.8 18.6  3.06 17.39  6.75 999 1016.6  13.0  14.2 999.0 99.0 99.00
2007 01 05 05 00 305 13.4 15.7  2.92 17.39  6.69 999 1017.1  12.5  14.0 999.0 99.0 99.00
2007 01 05 06 00 320 12.9 15.7  3.19 17.39  6.91 999 1017.3  12.2  13.9 999.0 99.0 99.00
2007 01 05 07 00 312 15.4 18.8  2.97  9.09  6.64 999 1017.5  11.7  13.9 999.0 99.0 99.00
2007 01 05 08 00 310 16.1 20.1  3.15 10.81  7.00 999 1017.6  11.2  13.8 999.0 99.0 99.00
2007 01 05 09 00 306 15.3 18.6  3.26 10.00  6.97 999 1017.4  10.9  13.7 999.0 99.0 99.00
2007 01 05 10 00 303 13.8 17.5  3.30 10.00  7.23 999 1017.8  10.5  13.7 999.0 99.0 99.00
2007 01 05 11 00 306 14.2 17.3  3.44 10.81  7.51 999 1018.5  10.3  13.7 999.0 99.0 99.00
2007 01 05 12 00 316 10.7 13.7  3.63 10.81  7.92 999 1019.5  10.4  13.7 999.0 99.0 99.00
2007 01 05 13 00 304 10.6 12.5  3.17 11.43  7.57 999 1019.9  10.2  13.7 999.0 99.0 99.00
2007 01 05 14 00 309 10.8 12.7  3.45 11.43  7.86 999 1020.8   9.9  13.6 999.0 99.0 99.00
2007 01 05 15 00 311  9.2 10.9  3.49 11.43  8.07 999 1021.7  10.2  13.7 999.0 99.0 99.00
2007 01 05 16 00 314  7.0  8.9  3.38 13.79  8.31 999 1022.5  10.6  13.8 999.0 99.0 99.00
2007 01 05 17 00 325  4.9  6.5  3.15 11.43  8.22 999 1023.5  10.8  13.7 999.0 99.0 99.00
2007 01 05 18 00 318  5.2  7.4  3.31 12.12  8.76 999 1024.2  11.4  13.8 999.0 99.0 99.00
2007 01 05 19 00 122  2.4  4.2  3.20 12.90  8.50 999 1024.4  11.3  13.7 999.0 99.0 99.00
2007 01 05 20 00 249  2.6  4.3  3.32 14.81  8.16 999 1023.7  11.3  13.8 999.0 99.0 99.00
2007 01 05 21 00 186  2.9  3.8  3.37 12.12  8.74 999 1023.1  11.7  13.8 999.0 99.0 99.00
2007 01 05 22 00 232  2.6  3.8  3.15 12.90  8.60 999 1023.3  12.5  13.9 999.0 99.0 99.00
2007 01 05 23 00 309  4.9  6.4  3.34 12.90  9.01 999 1023.2  13.7  13.9 999.0 99.0 99.00
2007 01 06 00 00 312  6.6  9.8  3.16 12.90  8.74 999 1023.9  14.2  13.9 999.0 99.0 99.00
2007 01 06 01 00 326 10.3 12.1  3.03 12.12  8.21 999 1024.1  13.8  13.8 999.0 99.0 99.00
