#YY  MM DD hh mm WDIR WSPD GST  WVHT   DPD   APD MWD   PRES  ATMP  WTMP  DEWP  VIS  TIDE
#yr  mo dy hr mn degT m/s  m/s     m   sec   sec degT   hPa  degC  degC  degC   mi    ft
2011 12 31 23 50 300  3.2  4.2  1.38 16.00  9.93 274 1016.1  11.0  14.9  10.8 99.0 99.00
2012 01 01 00 50 303  1.5  2.2  1.18 13.79  9.18 286 1016.1  10.9  14.8  10.7 99.0 99.00
2012 01 01 01 50 287  1.6  2.4  1.25 13.79  9.46 280 1016.1  11.7  14.7  11.5 99.0 99.00
2012 01 01 02 50 283  2.3  2.9  1.14 16.00  9.58 281 1016.7  12.7  14.7  12.5 99.0 99.00
2012 01 01 03 50 202  1.5  1.9  1.13 16.00  9.30 232 1017.0  11.5  14.7  11.3 99.0 99.00
2012 01 01 04 50 196  1.1  1.7  1.20 13.79  9.40 248 1017.4  11.1  14.7  10.9 99.0 99.00
2012 01 01 05 50 164  2.4  3.2  1.18 14.81  8.72 236 1018.0  10.9  14.7  10.8 99.0 99.00
2012 01 01 06 50 144  1.6  2.5  1.17 12.90  8.92 235 1018.4  11.0  14.7  10.8 99.0 99.00
2012 01 01 07 50 180  0.3  1.4  1.31 14.81  8.75 276 1018.8  11.0  14.6  10.8 99.0 99.00
2012 01 01 08 50 214  0.7  1.5  1.21 16.00  8.73 254 1018.6  10.9  14.7  10.7 99.0 99.00
2012 01 01 09 50 188  0.6  1.6  1.27 13.79  8.91 274 1018.4  10.8  14.7  10.6 99.0 99.00
2012 01 01 10 50 196  0.3  1.1  1.19 13.79  8.90 244 1018.7  10.9  14.7  10.7 99.0 99.00
2012 01 01 11 50 217  1.2  2.1  1.27 14.81  9.21 257 1018.5  10.5  14.7  10.3 99.0 99.00
2012 01 01 12 50 227  1.3  2.5  1.17 12.90  9.09 246 1018.7  10.3  14.7  10.3 99.0 99.00
2012 01 01 13 50 168  1.0  2.0  1.12 12.12  9.31 256 1019.2  10.3  14.6  10.3 99.0 99.00
2012 01 01 14 50 107  0.8  1.6  1.07 13.79  9.40 264 1019.9  10.3  14.5  10.3 99.0 99.00
