#YY  MM DD hh mm WDIR WSPD GST  WVHT   DPD   APD MWD   PRES  ATMP  WTMP  DEWP  VIS  TIDE
#yr  mo dy hr mn degT m/s  m/s     m   sec   sec degT   hPa  degC  degC  degC   mi    ft
2013 12 31 23 50 225  3.7  4.3  0.86 14.81  7.12 252 1018.8  14.8  15.8  12.0 99.0 99.00
2014 01 01 00 50 235  4.8  5.5  0.88 17.39  7.00 276 1018.6  14.5  15.8  12.0 99.0 99.00
2014 01 01 01 50 250  4.2  5.1  1.00 14.81  6.91 251 1018.7  14.7  15.7  11.9 99.0 99.00
2014 01 01 02 50 263  3.8  4.7  1.00 16.00  6.02 277 1019.0  14.4  15.6  12.1 99.0 99.00
2014 01 01 03 50 286  3.6  4.2  0.92 16.00  5.98 280 1019.1  14.8  15.6  11.8 99.0 99.00
2014 01 01 04 50 315  2.6  3.1  0.79 16.00  5.77  40 1019.3  14.8  15.6  10.9 99.0 99.00
2014 01 01 05 50 308  1.7  2.1  0.86 16.00  6.91 295 1019.4  14.5  15.6  11.7 99.0 99.00
2014 01 01 06 50 310  0.7  1.2  0.84 16.00  6.26 277 1019.4  14.3  15.5  11.7 99.0 99.00
2014 01 01 07 50 317  1.4  1.9  0.86 16.00  6.48 280 1019.4  14.3  15.5  11.8 99.0 99.00
2014 01 01 08 50 339  2.5  3.0  0.88 13.79  5.87 232 1019.2  14.3  15.5  12.1 99.0 99.00
2014 01 01 09 50  25  4.6  5.4  0.92 12.90  6.44  81 1019.0  14.2  15.5  12.0 99.0 99.00
2014 01 01 10 50  33  3.4  4.1  0.91 14.81  6.63 265 1019.0  14.1  15.5  11.6 99.0 99.00
2014 01 01 11 50  57  3.3  4.0  0.93 13.79  6.55 281 1018.9  13.9  15.5  11.7 99.0 99.00
2014 01 01 12 50  58  3.8  4.4  1.03 14.81  6.30 244 1018.5  13.9  15.5  11.6 99.0 99.00
2014 01 01 13 50  66  2.1  3.0  1.08 14.81  6.76 236 1018.7  13.7  15.5  11.4 99.0 99.00
2014 01 01 14 50  72  1.7  2.9  1.07 14.81  6.61 319 1018.8  13.8  15.4  11.5 99.0 99.00
2014 01 01 15 50  71  3.1  4.3  1.08 13.79  6.84 254 1019.2  12.9  15.4  11.1 99.0 99.00
2014 01 01 16 50  78  0.3  0.9  1.16 14.81  7.41 272 1019.9  13.2  15.5  11.6 99.0 99.00
2014 01 01 17 50   7  2.2  3.1  1.00 14.81  6.79 274 1020.2  12.7  15.5  11.2 99.0 99.00
2014 01 01 18 50  51  1.6  2.0  0.98 14.81  7.14 261 1020.0  13.0  15.6  11.3 99.0 99.00
2014 01 01 19 50 358  1.5  2.1  0.93 14.81  6.93 265 1019.1  13.5  15.7  11.3 99.0 99.00
2014 01 01 20 50 304  1.3  1.8  0.84 16.00  6.73 262 1018.4  13.8  16.0  11.7 99.0 99.00
2014 01 01 21 50 315  1.8  2.6  1.03 14.81  8.00 265 1017.8  14.2  16.1  11.8 99.0 99.00
2014 01 01 22 50 276  1.2  1.7  0.93 12.90  7.34 265 1017.7  15.0  16.1  11.6 99.0 99.00
2014 01 01 23 50 328  1.3  1.7  0.99 14.81  7.83 259 1017.5  14.9  16.1  11.7 99.0 99.00
2014 01 02 00 50 291  2.3  3.1  0.88 14.81  7.07 275 1017.5  14.9  16.0  12.1 99.0 99.00
2014 01 02 01 50 273  3.2  3.8  0.88 13.79  7.13 287 1017.8  14.6  15.8  11.6 99.0 99.00
2014 01 02 02 50 302  3.3  3.8  0.92 14.81  6.47 271 1017.8  14.8  15.7  12.6 99.0 99.00
2014 01 02 03 50 320  3.4  3.9  1.04 14.81  6.90 228 1017.9  14.9  15.6  12.6 99.0 99.00
2014 01 02 04 50 328  4.2  5.2  0.88 14.81  6.22 245 1018.1  14.9  15.5  12.5 99.0 99.00
2014 01 02 05 50 339  3.8  4.6  0.96 13.79  6.53 281 1018.2  15.2  15.5  12.4 99.0 99.00
2014 01 02 06 50 336  3.1  3.6  0.96 13.79  7.09 251 1018.3  15.2  15.5  13.0 99.0 99.00
2014 01 02 07 50 336  3.4  3.9  0.96 13.79  7.00 245 1018.4  15.2  15.5  13.4 99.0 99.00
2014 01 02 08 50 330  2.0  2.6  1.03 14.81  7.81 244 1018.2  15.2  15.5  13.6 99.0 99.00
2014 01 02 09 50 269  2.0  2.7  0.99 14.81  7.59 279 1018.3  15.0  15.5  13.6 99.0 99.00
2014 01 02 10 50 306  1.8  2.2  0.86 13.79  7.41 276 1018.1  14.9  15.5  12.9 99.0 99.00
2014 01 02 11 50 333  2.0  2.3  0.89 14.81  7.94 258 1017.5  15.0  15.5  13.5 99.0 99.00
2014 01 02 12 50 303  2.3  3.1  0.88 13.79  8.02 274 1017.4  15.2  15.5  13.1 99.0 99.00
2014 01 02 13 50 228  1.4  1.8  0.81 13.79  7.87 274 1017.6  15.1  15.4  13.5 99.0 99.00
