#YY  MM DD hh mm WDIR WSPD GST  WVHT   DPD   APD MWD   PRES  ATMP  WTMP  DEWP  VIS  TIDE
#yr  mo dy hr mn degT m/s  m/s     m   sec   sec degT   hPa  degC  degC  degC  nmi    ft
2007 01 01 00 00 272  2.0  5.3  1.71 13.79  7.01 999 1020.8  14.1  15.8 999.0 99.0 99.00
2007 01 01 01 00 310  4.8  7.3  2.03 14.81  6.50 999 1020.6  14.2  15.7 999.0 99.0 99.00
2007 01 01 02 00 283  7.6  9.1  2.22 13.79  5.99 999 1020.5  13.5  15.7 999.0 99.0 99.00
2007 01 01 03 00 316  3.1  4.3  1.91 12.90  6.08 999 1020.5  13.7  15.7 999.0 99.0 99.00
2007 01 01 04 00 315  2.4  3.5  2.05 13.79  6.72 999 1020.3  13.5  15.6 999.0 99.0 99.00
2007 01 01 05 00 298  4.2  5.4  1.94 12.12  6.22 999 1020.7  13.9  15.6 999.0 99.0 99.00
2007 01 01 06 00 298  7.9  9.3  1.77 13.79  5.72 999 1020.1  13.7  15.6 999.0 99.0 99.00
2007 01 01 07 00 309  8.0  9.3  1.81 14.81  5.60 999 1019.9  13.5  15.6 999.0 99.0 99.00
2007 01 01 08 00 319  6.9  8.1  1.87 13.79  6.20 999 1019.3  13.7  15.6 999.0 99.0 99.00
2007 01 01 09 00 334  8.2  9.3  1.76 12.90  5.79 999 1019.1  13.6  15.6 999.0 99.0 99.00
2007 01 01 10 00 317  6.6  8.1  1.80 13.79  6.27 999 1019.2  13.5  15.5 999.0 99.0 99.00
2007 01 01 11 00 322  6.4  7.7  1.75 13.79  5.81 999 1019.0  13.4  15.6 999.0 99.0 99.00
2007 01 01 12 00 336  4.1  5.0  1.99 13.79  6.67 999 1019.2  13.3  15.6 999.0 99.0 99.00
2007 01 01 13 00 326  5.0  5.9  1.97 13.79  6.70 999 1018.5  13.0  15.6 999.0 99.0 99.00
2007 01 01 14 00 327  4.8  6.0  1.87 10.81  6.27 999 1018.4  13.0  15.5 999.0 99.0 99.00
2007 01 01 15 00 328  6.5  7.4  1.80 12.12  6.41 999 1018.5  13.2  15.5 999.0 99.0 99.00
2007 01 01 16 00 331  6.7  8.4  1.80 14.81  6.39 999 1019.0  13.6  15.4 999.0 99.0 99.00
2007 01 01 17 00 333  7.5  8.7  1.83 12.12  6.14 999 1019.0  14.0  15.4 999.0 99.0 99.00
2007 01 01 18 00 329  8.2  9.6  1.96 12.90  6.20 999 1018.8  14.3  15.3 999.0 99.0 99.00
2007 01 01 19 00 321  6.1  7.6  1.79 12.12  5.69 999 1018.4  14.3  15.4 999.0 99.0 99.00
2007 01 01 20 00 300  7.3  8.8  1.74 13.79  5.53 999 1017.5  14.5  15.4 999.0 99.0 99.00
2007 01 01 21 00 314  6.1  7.4  1.66 12.12  5.37 999 1016.7  14.9  15.4 999.0 99.0 99.00
2007 01 01 22 00 314  6.5  8.1  1.67 11.43  5.50 999 1016.1  16.0  15.5 999.0 99.0 99.00
2007 01 01 23 00 312  7.9  9.2  1.59 13.79  5.24 999 1015.9  15.5  15.5 999.0 99.0 99.00
2007 01 02 00 00 329  8.7 10.5  1.70 13.79  5.21 999 1015.5  16.0  15.5 999.0 99.0 99.00
2007 01 02 01 00 327  9.0 11.0  1.72 12.12  5.37 999 1015.7  16.2  15.5 999.0 99.0 99.00
2007 01 02 02 00 323  8.9 10.3  1.59 12.12  5.33 999 1016.1  16.2  15.5 999.0 99.0 99.00
2007 01 02 03 00 326  5.8  7.5  1.56 12.12  5.21 999 1016.5  16.0  15.5 999.0 99.0 99.00
2007 01 02 04 00 326  8.1  9.6  1.45 13.79  5.11 999 1016.3  15.7  15.5 999.0 99.0 99.00
2007 01 02 05 00 328  8.3  9.8  1.58 12.90  5.19 999 1016.6  16.1  15.3 999.0 99.0 99.00
2007 01 02 06 00 335  9.1 10.9  1.54 12.90  5.43 999 1017.2  15.7  15.2 999.0 99.0 99.00
2007 01 02 07 00 331  4.8  6.4  1.46 12.12  5.48 999 1017.4  16.1  15.3 999.0 99.0 99.00
2007 01 02 08 00 330  8.6 10.0  1.37 12.12  5.01 999 1016.4  16.0  15.3 999.0 99.0 99.00
2007 01 02 09 00   1  3.4  4.5  1.49 11.43  4.93 999 1017.1  18.2  15.3 999.0 99.0 99.00
2007 01 02 10 00  12 12.7 15.2  1.55  4.17  4.62 999 1016.5  19.3  15.3 999.0 99.0 99.00
2007 01 02 11 00  29  8.2  9.7  1.53  4.35  4.59 999 1017.5  18.2  15.3 999.0 99.0 99.00
2007 01 02 12 00  19  7.5  9.2  1.50  4.35  4.82 999 1017.1  18.4  15.3 999.0 99.0 99.00
2007 01 02 13 00  17  4.2  5.6  1.39 12.12  5.08 999 1017.3  18.6  15.3 999.0 99.0 99.00
2007 01 02 14 00 344  3.0  4.0  1.38 11.43  5.21 999 1017.8  18.2  15.2 999.0 99.0 99.00
2007 01 02 15 00 349  4.9  5.6  1.33 12.12  5.35 999 1018.1  17.5  15.2 999.0 99.0 99.00
2007 01 02 16 00 354  5.2  6.4  1.21 12.12  5.34 999 1018.6  17.3  15.1 999.0 99.0 99.00
2007 01 02 17 00 355  6.2  7.4  1.25 13.79  6.07 999 1019.9  17.4  15.1 999.0 99.0 99.00
2007 01 02 18 00   1  3.9  4.9  1.23 12.12  6.46 999 1020.1  17.1  15.1 999.0 99.0 99.00
2007 01 02 19 00 355  4.6  5.4  1.26 12.90  6.11 999 1019.3  17.4  15.1 999.0 99.0 99.00
2007 01 02 20 00 311  3.3  4.2  1.00 12.90  6.01 999 1018.4  17.3  15.3 999.0 99.0 99.00
2007 01 02 21 00 273  0.9  2.0  1.14 12.90  6.97 999 1017.3  17.6  15.4 999.0 99.0 99.00
2007 01 02 22 00 189  1.4  2.0  1.09 12.90  7.02 999 1016.8  18.7  15.7 999.0 99.0 99.00
2007 01 02 23 00 310  5.5  6.6  1.08 12.90  7.09 999 1016.9  18.1  15.6 999.0 99.0 99.00
2007 01 03 00 00 267  3.1  4.3  1.16 12.12  6.92 999 1017.0  16.9  15.4 999.0 99.0 99.00
2007 01 03 01 00 289  4.9  6.3  1.19 12.12  6.15 999 1017.1  17.0  15.3 999.0 99.0 99.00
2007 01 03 02 00 287  4.7  7.0  1.18 13.79  5.56 999 1017.0  16.3  15.3 999.0 99.0 99.00
2007 01 03 03 00 307  6.2  7.3  1.26 14.81  5.30 999 1016.8  16.2  15.3 999.0 99.0 99.00
2007 01 03 04 00 309  6.6  8.0  1.31 13.79  5.17 999 1016.8  16.3  15.4 999.0 99.0 99.00
2007 01 03 05 00 303  5.4  6.9  1.15 13.79  4.87 999 1017.5  16.3  15.4 999.0 99.0 99.00
2007 01 03 06 00 323  5.5  6.9  1.26 11.43  5.12 999 1017.8  15.6  15.4 999.0 99.0 99.00
2007 01 03 07 00 313  3.5  4.2  1.03 12.12  5.43 999 1017.5  15.4  15.5 999.0 99.0 99.00
2007 01 03 08 00 287  2.7  3.4  1.20 13.79  6.14 999 1017.5  15.6  15.5 999.0 99.0 99.00
2007 01 03 09 00 248  1.7  2.3  1.25 12.90  6.97 999 1017.2  15.4  15.5 999.0 99.0 99.00
2007 01 03 10 00 271  1.6  2.2  1.17 11.43  6.66 999 1017.5  15.3  15.5 999.0 99.0 99.00
2007 01 03 11 00 308  4.4  5.3  1.20 13.79  7.14 999 1017.6  15.2  15.5 999.0 99.0 99.00
2007 01 03 12 00 356  4.1  4.9  1.10 12.90  6.58 999 1016.9  14.8  15.5 999.0 99.0 99.00
2007 01 03 13 00 338  3.2  3.9  1.26 12.12  7.00 999 1016.7  14.7  15.5 999.0 99.0 99.00
2007 01 03 14 00 334  4.7  5.6  1.19 12.12  6.85 999 1016.9  14.6  15.5 999.0 99.0 99.00
2007 01 03 15 00 354  4.1  4.6  1.13 12.12  6.19 999 1017.1  14.6  15.5 999.0 99.0 99.00
2007 01 03 16 00 357  2.8  3.3  1.31 12.90  7.22 999 1017.9  14.6  15.5 999.0 99.0 99.00
2007 01 03 17 00  18  2.0  2.9  1.15 12.12  6.26 999 1018.5  14.9  15.5 999.0 99.0 99.00
2007 01 03 18 00   6  1.5  2.0  1.14 12.12  6.43 999 1019.0  15.3  15.5 999.0 99.0 99.00
2007 01 03 19 00 350  2.2  2.6  1.24 12.12  6.59 999 1019.1  15.2  15.6 999.0 99.0 99.00
2007 01 03 20 00 358  1.9  2.5  1.15 12.12  6.33 999 1017.9  15.1  15.8 999.0 99.0 99.00
2007 01 03 21 00 345  1.7  2.3  1.29 11.43  6.44 999 1017.1  15.2  16.1 999.0 99.0 99.00
2007 01 03 22 00 340  1.7  2.3  1.27 12.12  6.10 999 1017.0  15.4  16.2 999.0 99.0 99.00
2007 01 03 23 00 339  1.2  1.6  1.31 12.12  5.93 999 1017.0  15.7  16.3 999.0 99.0 99.00
2007 01 04 00 00 325  2.4  2.9  1.38  6.25  5.87 999 1017.3  15.6  16.2 999.0 99.0 99.00
2007 01 04 01 00 342  2.6  3.1  1.31  7.14  5.95 999 1017.4  15.2  16.1 999.0 99.0 99.00
2007 01 04 02 00 346  1.1  1.4  1.32  6.67  5.89 999 1017.4  15.0  16.0 999.0 99.0 99.00
2007 01 04 03 00   4  1.0  1.3  1.29 11.43  5.78 999 1017.4  14.9  16.0 999.0 99.0 99.00
2007 01 04 04 00 347  0.6  1.4  1.24 12.12  5.68 999 1017.9  14.8  15.9 999.0 99.0 99.00
2007 01 04 05 00 196  0.7  1.4  1.37 13.79  5.68 999 1018.4  14.7  15.8 999.0 99.0 99.00
2007 01 04 06 00 179  1.8  2.3  1.26 12.12  5.80 999 1018.3  14.8  15.8 999.0 99.0 99.00
2007 01 04 07 00 160  0.9  1.5  1.30 12.90  6.19 999 1018.3  14.7  15.8 999.0 99.0 99.00
2007 01 04 08 00 155  1.2  1.9  1.24 12.12  5.82 999 1018.4  14.6  15.6 999.0 99.0 99.00
2007 01 04 09 00  23  2.5  3.0  1.35  7.14  6.19 999 1018.0  14.3  15.5 999.0 99.0 99.00
2007 01 04 10 00  49  1.2  2.0  1.35 12.90  6.13 999 1018.1  14.0  15.5 999.0 99.0 99.00
2007 01 04 11 00 126  1.5  2.0  1.28  7.69  6.04 999 1018.0  14.2  15.5 999.0 99.0 99.00
2007 01 04 12 00 103  4.3  5.3  1.30 12.90  6.22 999 1017.8  14.6  15.4 999.0 99.0 99.00
2007 01 04 13 00 107  2.9  4.2  1.25 12.12  5.96 999 1018.0  14.6  15.3 999.0 99.0 99.00
2007 01 04 14 00  55  2.9  3.9  1.22 12.12  5.89 999 1018.1  14.6  15.4 999.0 99.0 99.00
2007 01 04 15 00  70  2.3  3.6  1.25 12.12  6.13 999 1018.5  14.6  15.4 999.0 99.0 99.00
2007 01 04 16 00  67  3.8  4.6  1.18 11.43  6.16 999 1018.7  14.4  15.5 999.0 99.0 99.00
2007 01 04 17 00  57  4.8  5.7  1.20 12.90  5.91 999 1019.3  14.3  15.6 999.0 99.0 99.00
2007 01 04 18 00  74  3.7  5.0  1.10 16.00  5.78 999 1019.7  14.2  15.6 999.0 99.0 99.00
2007 01 04 19 00  76  3.0  3.7  1.13 12.90  6.04 999 1019.5  14.3  15.6 999.0 99.0 99.00
2007 01 04 20 00  82  2.0  2.9  1.21 12.90  6.62 999 1018.5  14.3  15.7 999.0 99.0 99.00
2007 01 04 21 00 118  0.9  1.8  1.30 14.81  6.77 999 1017.6  14.8  15.9 999.0 99.0 99.00
2007 01 04 22 00 228  3.6  4.3  1.22 16.00  6.61 999 1017.1  14.7  16.0 999.0 99.0 99.00
2007 01 04 23 00 270  4.7  6.0  1.14 16.00  6.43 999 1016.8  14.8  15.7 999.0 99.0 99.00
2007 01 05 00 00 288  6.5  9.0  1.35 17.39  6.31 999 1016.3  15.2  15.7 999.0 99.0 99.00
2007 01 05 01 00 284  8.6 10.1  1.53 16.00  5.11 999 1015.7  14.7  15.7 999.0 99.0 99.00
