#YY  MM DD hh mm WDIR WSPD GST  WVHT   DPD   APD MWD   PRES  ATMP  WTMP  DEWP  VIS  TIDE
#yr  mo dy hr mn degT m/s  m/s     m   sec   sec degT   hPa  degC  degC  degC   mi    ft
2012 12 31 23 50 290  3.2  4.1  1.03  8.33  6.90 276 1023.0  12.9  14.0 999.0 99.0 99.00
2013 01 01 00 50 281  2.6  3.3  1.04 12.90  6.46 269 1022.7  12.6  14.1 999.0 99.0 99.00
2013 01 01 01 50 303  2.0  2.5 99.00 99.00 99.00 999 1022.7  12.6  14.0 999.0 99.0 99.00
2013 01 01 02 50 287  3.0  3.6  1.00 19.05  6.53  78 1023.3  12.8  13.8 999.0 99.0 99.00
2013 01 01 03 50 300  1.6  2.4  1.03 19.05  6.78 189 1023.5  12.9  13.7 999.0 99.0 99.00
2013 01 01 04 50  11  0.5  1.1  1.00 19.05  6.97 301 1023.4  12.8  13.6 999.0 99.0 99.00
2013 01 01 05 50 336  0.6  1.2  1.00 19.05  6.42 235 1024.0  12.4  13.5 999.0 99.0 99.00
2013 01 01 06 50 272  1.5  2.0  0.96 17.39  6.24 184 1024.0  12.7  13.4 999.0 99.0 99.00
2013 01 01 07 50  45  1.7  2.4  0.93 19.05  6.52 127 1024.0  12.0  13.3 999.0 99.0 99.00
2013 01 01 08 50 112  1.4  2.0  1.06 19.05  7.39 300 1023.4  12.2  13.3 999.0 99.0 99.00
2013 01 01 09 50 121  1.4  2.0  1.13 17.39  8.08 270 1023.5  12.3  13.2 999.0 99.0 99.00
2013 01 01 10 50 118  2.2  3.0  1.15 17.39  8.31 309 1023.0  12.4  13.2 999.0 99.0 99.00
2013 01 01 11 50 163  3.8  4.4  1.17 17.39  8.52 289 1023.0  12.0  13.2 999.0 99.0 99.00
2013 01 01 12 50 126  3.3  4.4  1.17 17.39  8.58 259 1022.7  11.9  13.2 999.0 99.0 99.00
2013 01 01 13 50 125  3.6  4.3  0.96 17.39  7.28 247 1022.6  11.8  13.2 999.0 99.0 99.00
2013 01 01 14 50 102  3.1  4.3  1.08 17.39  7.11 305 1022.8  11.8  13.2 999.0 99.0 99.00
2013 01 01 15 50 130  4.3  5.2  1.11 17.39  7.43 289 1023.0  12.1  13.1 999.0 99.0 99.00
