FieldID,ID,Deploy_ID,Island,Site,SubCol,SubCol_Code,Species,Year,Phenology,NestNo,GPS_Y_N,GPS_ID,GPS_programmed_start_datetime_local,DeplSess,GPS_Interval_seconds,GPS_notes,Tagging_Event,Contents,NestPhen,NestPhen1,Chick_Stage,Capture_date_local,Capture_time_local,Release_time_local,UTC_LocalTime_offset_hours,UTC,BandNo,R_L,offset,GPS_TagRecov,TDR_TagRecov,Notes,Capture_loc,Blood_FTA,Blood_vial,Feathers,GPS_Track_File,revised_sample_no,TDR_Y_N,TDR_ID,TDR_File,Sex,How_Sexed,Age,Diet,Mass,Culmen,Lat_DD,Long_DD,Date_Modified,Time_Modified,Wing,Processor,Chick % adult sz,Chick Primaries growing
LEH2014BRBO006A,16,259,Kauai,Lehua,Lehua,LEH,BRBO,2014,EC,6,Y,631,5/13/2014 12:00,1,120,,D,LNC,Early Chick,1,1,5/16/2014,18:21,18:34,-10,5/17/2014 4:34,2017-24331,L,,0,0,GPS taped to 3 feathers,,N,N,N,,,Y,A10352,,M,P,AHY,N,,,22.016626,-160.093189,,,,JF,,
LEH2014BRBO007A,17,260,Kauai,Lehua,Lehua,LEH,BRBO,2014,MC,7,Y,642,5/13/2014 12:00,1,120,,D,LDC,Early Chick,1,,5/16/2014,18:38,18:50,-10,5/17/2014 4:50,2017-24337,L,,0,0,,,N,N,N,,,Y,A10356,,F,P,AHY,N,,,22.016522,-160.093279,,,,JF,,
LEH2014BRBO007A,2,260,Kauai,Lehua,Lehua,LEH,BRBO,2014,MC,7,Y,642,5/13/2014 12:00,1,120,,R,LDC,Early Chick,1,,5/18/2014,17:52,18:05,-10,5/19/2014 3:52,2017-24337,L,,1,1,,,Y,Y,N,LEH_BRBO_007_24337_642_051814,,Y,A10356,LEH_BRBO_007_24337_A10356_051814,F,P,AHY,Y,1281,102.3,22.016522,-160.093279,,,,JF,,
LEH2014BRBO010A,53,272,Kauai,Lehua,Lehua,LEH,BRBO,2014,MC,10,Y,641,6/13/2014 12:00,2,120,,D,MDC,Early Chick,2,4,6/14/2014,15:30,15:43,-10,6/15/2014 1:43,2017-24350,L,,0,0,,,N,N,N,,,Y,A10343,,F,P,AHY,Y,,,22.01943,-160.092999,,,,SJ,,
LEH2014BRBO010A,64,272,Kauai,Lehua,Lehua,LEH,BRBO,2014,MC,10,Y,641,6/13/2014 12:00,2,120,,R,MDC,Early Chick,2,4,6/16/2014,17:00,17:22,-10,6/17/2014 3:00,2017-24350,L,,1,1,,,Y,N,N,LEH2014BRBO010_061614,,Y,A10343,LEH2014BRBO010_A10343_061614,F,P,AHY,N,1800,97.9,22.01943,-160.092999,,,,SJ,,
LEH2014BRBO011A,498,273,Kauai,Lehua,Lehua,LEH,BRBO,2014,MC,11,Y,20,6/13/2014 12:00,2,120,,D,MDC,Early Chick,2,4,6/14/2014,15:34,15:48,-10,6/15/2014 1:48,2017-24365,L,,0,0,CHICK C4,,N,N,N,,,Y,A10365,,F,P,AHY,N,,,22.019041,-160.094334,7/29/2014,11:49:14,,JF,,
LEH2014BRBO011A,517,273,Kauai,Lehua,Lehua,LEH,BRBO,2014,MC,11,Y,20,6/13/2014 12:00,2,120,,R,MDC,Early Chick,2,4,6/16/2014,17:12,17:24,-10,6/17/2014 3:12,2017-24365,L,,1,1,CHICK C4,,Y,Y,N,LEH2014BRBO011_061614,,Y,A10365,LEH2014BRBO011_A10365_061614,F,P,AHY,Y,1390,107.4,22.019041,-160.094334,7/29/2014,11:49:53,,JF,,
LEH2014BRBO012A,54,274,Kauai,Lehua,Lehua,LEH,BRBO,2014,MC,12,Y,634,6/13/2014 12:00,2,120,,D,MGC,Late Chick,2,6A,6/14/2014,16:10,16:26,-10,6/15/2014 2:26,2017-24349,L,,0,0,,,N,N,N,,,Y,A10341,,F,P,AHY,N,,,22.01619,-160.09578,,,,SJ,,
LEH2014BRBO012A,528,274,Kauai,Lehua,Lehua,LEH,BRBO,2014,MC,12,Y,634,6/13/2014 12:00,2,120,,R,MGC,Late Chick,2,6A,6/18/2014,7:43,7:54,-10,6/18/2014 17:43,2017-24349,L,,1,1,CHICK C6A,,Y,Y,N,LEH2014BRBO012_061814,,Y,A10341,LEH2014BRBO012_A10341_061814,F,P,AHY,N,1200,103.8,22.01619,-160.09578,7/29/2014,11:50:14,,JF,,
LEH2014BRBO013A,499,275,Kauai,Lehua,Lehua,LEH,BRBO,2014,EC,13,Y,18,6/13/2014 12:00,2,120,,D,SDC,Early Chick,1,3,6/14/2014,16:14,16:24,-10,6/15/2014 2:24,2017-24366,L,,0,0,,,N,N,N,,,Y,A10364,,M,P,AHY,Y,,,22.019562,-160.093515,,,,JF,,
LEH2014BRBO014A,55,276,Kauai,Lehua,Lehua,LEH,BRBO,2014,MC,14,Y,618,6/13/2014 12:00,2,120,,D,MDC,Early Chick,2,4,6/14/2014,16:45,17:02,-10,6/15/2014 3:02,2017-24348,L,,0,0,,,N,N,N,,,Y,A10340,,M,P,AHY,N,,,22.02064,-160.091372,,,,SJ,,
LEH2014BRBO014A,65,276,Kauai,Lehua,Lehua,LEH,BRBO,2014,MC,14,Y,618,6/13/2014 12:00,2,120,,R,MDC,Early Chick,2,4,6/16/2014,18:05,18:20,-10,6/17/2014 4:05,2017-24348,L,,1,1,,,Y,Y,N,LEH2014BRBO014_061614,,Y,A10340,LEH2014BRBO014_A10340_061614,M,P,AHY,Y,1430,98.3,22.02064,-160.091372,,,,SJ,,
LEH2014BRBO015A,500,277,Kauai,Lehua,Lehua,LEH,BRBO,2014,LC,15,Y,621,6/13/2014 12:00,2,120,,D,SGC,Late Chick,2,6B,6/14/2014,16:37,16:49,-10,6/15/2014 2:49,2017-24370,L,,0,0,CHICK 6B,,N,N,N,,,Y,A10360,,M,P,AHY,Y,,,22.015586,-160.09795,7/29/2014,11:49:16,,JF,,
LEH2014BRBO015A,520,277,Kauai,Lehua,Lehua,LEH,BRBO,2014,LC,15,Y,621,6/13/2014 12:00,2,120,,R,SGC,Late Chick,2,6B,6/16/2014,18:49,18:59,-10,6/17/2014 4:49,2017-24370,L,,1,1,CHICK 6B,,Y,Y,N,LEH2014BRBO015_061614,,Y,A10360,LEH2014BRBO015_A10360_061614,M,P,AHY,N,1110,101.5,22.015586,-160.09795,7/29/2014,11:49:58,,JF,,
LEH2014BRBO016A,56,278,Kauai,Lehua,Lehua,LEH,BRBO,2014,MC,16,Y,12,6/13/2014 12:00,2,120,,D,LDC,Late Chick,2,5,6/14/2014,17:35,17:50,-10,6/15/2014 3:50,2017-24347,L,,0,0,,,N,N,N,,,Y,A10339,,F,P,AHY,Y,,,22.021132,-160.09083,,,,SJ,,
LEH2014BRBO017A,501,279,Kauai,Lehua,Lehua,LEH,BRBO,2014,MC,17,Y,6,6/13/2014 12:00,2,120,,D,LDC,Late Chick,2,6A,6/14/2014,17:04,17:16,-10,6/15/2014 3:16,2017-24369,L,,0,0,CHICK C6A,,N,N,N,,,Y,A10366,,M,P,AHY,N,,,22.019795,-160.093286,7/29/2014,11:49:18,,JF,,
LEH2014BRBO017A,518,279,Kauai,Lehua,Lehua,LEH,BRBO,2014,MC,17,Y,6,6/13/2014 12:00,2,120,,R,LDC,Late Chick,2,6A,6/16/2014,18:03,18:13,-10,6/17/2014 4:03,2017-24369,L,,1,1,CHICK C6A,,Y,Y,N,LEH2014BRBO017_061614,,Y,A10366,LEH2014BRBO017_A10366_061614,M,P,AHY,Y,1110,100.6,22.019795,-160.093286,7/29/2014,11:49:55,,JF,,
LEH2014BRBO018A,57,280,Kauai,Lehua,Lehua,LEH,BRBO,2014,MC,18,Y,603,6/13/2014 12:00,2,120,,D,MDC,Early Chick,2,4,6/14/2014,18:16,18:28,-10,6/15/2014 4:28,2017-24346,L,,0,0,,,N,N,N,,,Y,A10321,,F,P,AHY,Y,,,22.020955,-160.091066,,,,SJ,,
LEH2014BRBO019A,502,281,Kauai,Lehua,Lehua,LEH,BRBO,2014,MC,19,Y,606,6/13/2014 12:00,2,120,,D,MDC,Late Chick,2,5,6/14/2014,17:39,17:50,-10,6/15/2014 3:50,2017-24368,L,,0,0,CHICK C5,,N,N,N,,,Y,A10358,,M,P,AHY,Y,,,22.019819,-160.09286,7/29/2014,11:49:19,,JF,,
LEH2014BRBO019A,519,281,Kauai,Lehua,Lehua,LEH,BRBO,2014,MC,19,Y,606,6/13/2014 12:00,2,120,,R,MDC,Late Chick,2,5,6/16/2014,18:25,18:35,-10,6/17/2014 4:25,2017-24368,L,,1,1,CHICK C5,,Y,Y,N,LEH2014BRBO019_061614,,Y,A10358,LEH2014BRBO019_A10358_061614,M,P,AHY,Y,1150,96.9,22.019819,-160.09286,7/29/2014,11:49:57,,JF,,
LEH2014BRBO021A,550,282,Kauai,Lehua,Lehua,LEH,BRBO,2014,EC,21,Y,700,7/14/2014 12:00,3,120,,D,LNC,Early Chick,1,1,7/15/2014,16:55,17:05,-10,7/16/2014 3:05,2017-24380,L,,0,0,,,N,N,N,,,Y,A10358,,M,P,AHY,Y,,,22.019283,-160.09746,7/29/2014,13:30:55,,JF,,
