#YY  MM DD hh mm WDIR WSPD GST  WVHT   DPD   APD MWD   PRES  ATMP  WTMP  DEWP  VIS  TIDE
#yr  mo dy hr mn degT m/s  m/s     m   sec   sec degT   hPa  degC  degC  degC   mi    ft
2010 12 31 23 50 187  0.7  1.2  0.98 10.81  5.24 263 1017.3  11.2  13.4 999.0 99.0 99.00
2011 01 01 00 50  50  0.4  0.7  0.97  8.33  5.35 273 1017.4  11.3  13.3 999.0 99.0 99.00
2011 01 01 01 50  49  0.7  1.3  0.93 10.81  5.16 284 1017.6  11.4  13.0 999.0 99.0 99.00
2011 01 01 02 50  64  1.3  1.9  0.99 10.00  5.46 280 1018.0  11.4  12.9 999.0 99.0 99.00
2011 01 01 03 50  93  0.9  1.4  0.96  9.09  5.40 271 1018.9  11.5  12.8 999.0 99.0 99.00
2011 01 01 04 50  96  4.0  4.7  0.97  9.09  5.70 273 1018.9  11.7  12.7 999.0 99.0 99.00
2011 01 01 05 50  95  5.5  6.5  0.83  9.09  5.62 268 1019.7  11.7  12.9 999.0 99.0 99.00
2011 01 01 06 50 114  6.7  7.8  0.80 12.90  5.16 261 1020.4  11.8  13.0 999.0 99.0 99.00
2011 01 01 07 50 106  6.5  7.7  0.80 12.90  4.52 270 1020.7  11.1  12.9 999.0 99.0 99.00
2011 01 01 08 50 104  6.8  8.5  0.76 12.90  4.27 275 1020.6  11.5  12.8 999.0 99.0 99.00
2011 01 01 09 50 106  7.3  8.7  0.82 12.90  4.09 262 1020.6  11.5  12.7 999.0 99.0 99.00
2011 01 01 10 50 108  7.7  9.0  0.89 12.12  4.19 257 1020.7  11.4  12.6 999.0 99.0 99.00
2011 01 01 11 50 109  7.9  9.6  0.88  3.57  4.11 100 1020.6  11.4  12.6 999.0 99.0 99.00
2011 01 01 12 50 108  7.8  8.9  0.94 10.00  4.08 264 1020.7  11.4  12.6 999.0 99.0 99.00
2011 01 01 13 50 108  8.0  9.3  1.01 12.90  4.18 264 1021.1  11.2  12.7 999.0 99.0 99.00
2011 01 01 14 50 108  8.1  9.6  0.98 12.12  4.03 258 1021.7  11.3  12.7 999.0 99.0 99.00
2011 01 01 15 50 105  7.4  8.6  0.98  3.85  4.01  92 1022.7  11.3  12.8 999.0 99.0 99.00
2011 01 01 16 50 105  7.5  8.6  0.95 12.12  4.07 247 1023.7  11.2  12.9 999.0 99.0 99.00
2011 01 01 17 50 101  8.0  9.1  0.90 12.90  4.05 253 1024.3  11.2  12.9 999.0 99.0 99.00
2011 01 01 18 50 105  7.4  8.5  0.89 12.12  4.00 259 1024.4  11.5  13.0 999.0 99.0 99.00
2011 01 01 19 50 108  7.1  8.2  0.86  3.85  3.96  97 1023.8  11.6  13.1 999.0 99.0 99.00
2011 01 01 20 50 109  7.0  8.3  0.78 11.43  3.99 254 1023.1  11.7  13.1 999.0 99.0 99.00
2011 01 01 21 50 114  6.8  8.0  0.73 12.12  3.87 245 1022.5  11.9  13.0 999.0 99.0 99.00
2011 01 01 22 50 111  6.7  7.7  0.71 11.43  4.01 269 1022.2  12.1  13.0 999.0 99.0 99.00
2011 01 01 23 50 124  5.7  6.6  0.65 12.12  3.95 259 1022.3  12.2  12.8 999.0 99.0 99.00
2011 01 02 00 50 134  6.0  7.1  0.63 12.12  4.00 262 1021.9  12.2  12.8 999.0 99.0 99.00
2011 01 02 01 50 155  5.3  6.3  0.62 12.12  4.04 269 1022.2  12.1  12.7 999.0 99.0 99.00
