#YY  MM DD hh mm WDIR WSPD GST  WVHT   DPD   APD MWD   PRES  ATMP  WTMP  DEWP  VIS  TIDE
#yr  mo dy hr mn degT m/s  m/s     m   sec   sec degT   hPa  degC  degC  degC   mi    ft
2013 12 31 23 50 210  3.7  4.4  1.16 16.00  7.93 274 1019.0  15.2  15.8 999.0 99.0 99.00
2014 01 01 00 50 269  2.4  3.0  1.09 14.81  6.78 275 1019.0  15.3  15.8 999.0 99.0 99.00
2014 01 01 01 50 358  1.3  1.9  1.09 16.00  5.81 253 1018.8  15.1  15.6 999.0 99.0 99.00
2014 01 01 02 50  25  1.0  1.6  1.10 16.00  5.64 277 1019.1  15.0  15.4 999.0 99.0 99.00
2014 01 01 03 50  38  1.9  2.3  1.13 16.00  6.28 261 1019.3  14.7  15.2 999.0 99.0 99.00
2014 01 01 04 50  72  2.7  3.4  1.13 16.00  6.52 259 1019.6  14.6  15.1 999.0 99.0 99.00
2014 01 01 05 50  90  1.4  2.0  1.22 16.00  7.24 262 1019.9  14.6  15.1 999.0 99.0 99.00
2014 01 01 06 50 180  0.1  0.6  1.27 16.00  7.98 260 1020.2  14.5  15.0 999.0 99.0 99.00
2014 01 01 07 50  33  2.2  2.8  1.28 16.00  7.83 252 1020.1  14.4  15.0 999.0 99.0 99.00
2014 01 01 08 50  27  1.5  1.9  1.12 14.81  7.01 263 1019.8  13.9  14.9 999.0 99.0 99.00
2014 01 01 09 50  60  0.4  0.9  1.22 14.81  7.25 268 1019.7  13.8  14.9 999.0 99.0 99.00
2014 01 01 10 50 237  1.1  1.9  1.12 14.81  7.19 240 1019.8  13.8  14.9 999.0 99.0 99.00
2014 01 01 11 50 180  0.0  0.1  1.11 13.79  7.05 265 1019.5  13.4  14.9 999.0 99.0 99.00
2014 01 01 12 50 101  1.2  2.0  1.01 13.79  7.39 254 1019.3  13.3  14.8 999.0 99.0 99.00
2014 01 01 13 50 120  0.9  1.4  1.00 14.81  7.39 258 1019.2  13.2  14.8 999.0 99.0 99.00
2014 01 01 14 50 125  0.7  1.3  1.04 16.00  8.11 253 1019.6  13.4  14.6 999.0 99.0 99.00
2014 01 01 15 50 118  1.0  1.6  1.01 13.79  7.91 278 1020.1  13.7  14.5 999.0 99.0 99.00
2014 01 01 16 50 155  0.5  0.7  1.02 14.81  7.87 279 1020.7  14.7  14.5 999.0 99.0 99.00
2014 01 01 17 50  34  0.2  0.6  0.93 13.79  7.66 220 1020.8  14.4  14.6 999.0 99.0 99.00
2014 01 01 18 50 157  0.5  1.0  1.01 13.79  7.68 270 1020.6  15.1  14.8 999.0 99.0 99.00
2014 01 01 19 50 219  0.4  0.8  0.96 14.81  7.69 268 1019.7  14.9  15.2 999.0 99.0 99.00
2014 01 01 20 50 250  1.3  1.8  1.00 16.00  8.01 283 1019.0  14.7  15.5 999.0 99.0 99.00
2014 01 01 21 50 279  3.6  4.4  1.02 14.81  8.32 318 1018.4  14.5  15.7 999.0 99.0 99.00
2014 01 01 22 50 271  4.4  5.4  1.01 13.79  8.68 274 1018.1  14.6  15.7 999.0 99.0 99.00
2014 01 01 23 50 271  4.0  5.2  1.05 14.81  8.90 238 1018.2  15.0  15.6 999.0 99.0 99.00
2014 01 02 00 50 268  4.3  5.3  0.91 14.81  8.04 289 1018.2  14.6  15.5 999.0 99.0 99.00
